manufacturer,device,section,sound_name,sound_description,midi_channel,note_number_min_value,note_number_max_value,note_number_default_value,comments,velocity_usage
Roland,TR-08,Note map,Bass drum,,1,35,35,35,Additional recognised note; the TR-08 transmits Bass drum on note 36.,
Roland,TR-08,Note map,Bass drum,,1,36,36,36,,
Roland,TR-08,Note map,Rim shot,,1,37,37,37,,
Roland,TR-08,Note map,Snare drum,,1,38,38,38,,
Roland,TR-08,Note map,Snare drum,,1,40,40,40,Additional recognised note; the TR-08 transmits Snare drum on note 38.,
Roland,TR-08,Note map,Hand clap,,1,39,39,39,,
Roland,TR-08,Note map,Closed hi-hat,,1,42,42,42,,
Roland,TR-08,Note map,Closed hi-hat,,1,44,44,44,Additional recognised note; the TR-08 transmits Closed hi-hat on note 42.,
Roland,TR-08,Note map,Low tom,,1,41,41,41,Additional recognised note; the TR-08 transmits Low tom on note 43.,
Roland,TR-08,Note map,Low tom,,1,43,43,43,,
Roland,TR-08,Note map,Open hi-hat,,1,46,46,46,,
Roland,TR-08,Note map,Mid tom,,1,45,45,45,Additional recognised note; the TR-08 transmits Mid tom on note 47.,
Roland,TR-08,Note map,Mid tom,,1,47,47,47,,
Roland,TR-08,Note map,Cymbal,,1,49,49,49,,
Roland,TR-08,Note map,High tom,,1,48,48,48,Additional recognised note; the TR-08 transmits High tom on note 50.,
Roland,TR-08,Note map,High tom,,1,50,50,50,,
Roland,TR-08,Note map,Cow bell,,1,51,51,51,Additional recognised note; the TR-08 transmits Cow bell on note 56.,
Roland,TR-08,Note map,Cow bell,,1,56,56,56,,
Roland,TR-08,Note map,High conga,,1,62,62,62,,
Roland,TR-08,Note map,Mid conga,,1,63,63,63,,
Roland,TR-08,Note map,Low conga,,1,64,64,64,,
Roland,TR-08,Note map,Maracas,,1,70,70,70,,
Roland,TR-08,Note map,Claves,,1,75,75,75,,
