manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Roland,TR-6S,,Beat,,2,,0,127,,,,,0-based,,
Roland,TR-6S,,Shuffle,,9,,0,127,,,,,0-based,,
Roland,TR-6S,,Master FX,,15,,0,127,,,,,0-based,,
Roland,TR-6S,,Delay Level,,16,,0,127,,,,,0-based,,
Roland,TR-6S,,Delay Time,,17,,0,127,,,,,0-based,,
Roland,TR-6S,,Delay Feedback,,18,,0,127,,,,,0-based,,
Roland,TR-6S,,Master FX Ctrl,,19,,0,127,,,,,0-based,,
Roland,TR-6S,,BD Tune,,20,,0,127,,,,,0-based,,
Roland,TR-6S,,BD Decay,,23,,0,127,,,,,0-based,,
Roland,TR-6S,,BD Level,,24,,0,127,,,,,0-based,,
Roland,TR-6S,,SD Tune,,25,,0,127,,,,,0-based,,
Roland,TR-6S,,SD Decay,,28,,0,127,,,,,0-based,,
Roland,TR-6S,,SD Level,,29,,0,127,,,,,0-based,,
Roland,TR-6S,,LT Tune,,46,,0,127,,,,,0-based,,
Roland,TR-6S,,LT Decay,,47,,0,127,,,,,0-based,,
Roland,TR-6S,,LT Level,,48,,0,127,,,,,0-based,,
Roland,TR-6S,,HC Tune,,58,,0,127,,,,,0-based,,
Roland,TR-6S,,HC Decay,,59,,0,127,,,,,0-based,,
Roland,TR-6S,,HC Level,,60,,0,127,,,,,0-based,,
Roland,TR-6S,,CH Tune,,61,,0,127,,,,,0-based,,
Roland,TR-6S,,CH Decay,,62,,0,127,,,,,0-based,,
Roland,TR-6S,,CH Level,,63,,0,127,,,,,0-based,,
Roland,TR-6S,,OH Tune,,80,,0,127,,,,,0-based,,
Roland,TR-6S,,OH Decay,,81,,0,127,,,,,0-based,,
Roland,TR-6S,,OH Level,,82,,0,127,,,,,0-based,,
Roland,TR-6S,,Fill IN Trig,,70,,0,127,,,,,0-based,,
Roland,TR-6S,,Accent,,71,,0,127,,,,,0-based,,
Roland,TR-6S,,Reverb Level,,91,,0,127,,,,,0-based,,
Roland,TR-6S,,BD Ctrl,,96,,0,127,,,,,0-based,,
Roland,TR-6S,,SD Ctrl,,97,,0,127,,,,,0-based,,
Roland,TR-6S,,LT Ctrl,,102,,0,127,,,,,0-based,,
Roland,TR-6S,,HC Ctrl,,106,,0,127,,,,,0-based,,
Roland,TR-6S,,CH Ctrl,,107,,0,127,,,,,0-based,,
Roland,TR-6S,,OH Ctrl,,108,,0,127,,,,,0-based,,
