manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Roland,VP-03,General,Modulation,,1,,0,127,,,,,0-based,,
Roland,VP-03,General,Pitch pedal,,4,,0,127,,,,,0-based,,
Roland,VP-03,General,Portament time,,5,,0,127,,,,,0-based,,
Roland,VP-03,General,Pitchbend range,,20,,0,127,,,,,0-based,,
Roland,VP-03,General,Hold,,64,,0,127,,,,,0-based,,
Roland,VP-03,General,Portament on/off,,65,,0,127,,,,,0-based,,
Roland,VP-03,General,Release,,72,,0,127,,,,,0-based,,
Roland,VP-03,General,Strings attack,,73,,0,127,,,,,0-based,,
Roland,VP-03,General,Strings tone,,74,,0,127,,,,,0-based,,
Roland,VP-03,General,Human voice attack,,75,,0,127,,,,,0-based,,
Roland,VP-03,General,Vibrato rate,,76,,0,127,,,,,0-based,,
Roland,VP-03,General,Vibrato depth,,77,,0,127,,,,,0-based,,
Roland,VP-03,General,Vibrato delay time,,78,,0,127,,,,,0-based,,
Roland,VP-03,General,Tune,,79,,0,127,,,,,0-based,,
Roland,VP-03,Pitch,Pitch time,,12,,0,127,,,,,0-based,,
Roland,VP-03,Pitch,Pitch set,,13,,0,127,,,,,0-based,,
Roland,VP-03,Pitch,Pitch shift,,14,,0,127,,,,,0-based,,
Roland,VP-03,Pitch,Pitch shft mode,,15,,0,127,,,,,0-based,,
Roland,VP-03,Balance,Balance direct mic,,16,,0,127,,,,,0-based,,
Roland,VP-03,Balance,Balance human voice,,17,,0,127,,,,,0-based,,
Roland,VP-03,Balance,Balance strings,,18,,0,127,,,,,0-based,,
Roland,VP-03,Vocoder,Vocodor formant,,9,,0,127,,,,,0-based,,
Roland,VP-03,Vocoder,Vocoder hold,,66,,0,127,,,,,0-based,,
Roland,VP-03,Vocoder,Vocoder level,,70,,0,127,,,,,0-based,,
Roland,VP-03,Vocoder,Vocoder tone,,71,,0,127,,,,,0-based,,
Roland,VP-03,Vocoder,Vocoder on/off,,80,,0,127,,,,,0-based,,
Roland,VP-03,Sound options,Human voice male 8',,81,,0,127,,,,,0-based,,
Roland,VP-03,Sound options,Vuman voice female 4',,82,,0,127,,,,,0-based,,
Roland,VP-03,Sound options,Strings on/off,,83,,0,127,,,,,0-based,,
Roland,VP-03,Sound options,Vocoder ensemble,,91,,0,127,,,,,0-based,,
Roland,VP-03,Sound options,Human voice ensemble,,92,,0,127,,,,,0-based,,
