manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Roland,XV-5050,,Modwheel,,1,,0,127,,,,,0-based,,
Roland,XV-5050,,Breath,,2,,0,127,,,,,0-based,,
Roland,XV-5050,,Footcrtl,,3,,0,127,,,,,0-based,,
Roland,XV-5050,,Volume,,7,,0,127,,,,,0-based,,
Roland,XV-5050,,Balance,,8,,0,127,,,,,0-based,,
Roland,XV-5050,,Panpot,,10,,0,127,,,,,0-based,,
Roland,XV-5050,,Exprssn,,11,,0,127,,,,,0-based,,
Roland,XV-5050,,Sustain,,64,,0,127,,,,,0-based,,
Roland,XV-5050,,Portamto,,65,,0,127,,,,,0-based,,
Roland,XV-5050,,Porttime,,4,,0,127,,,,,0-based,,
Roland,XV-5050,,Sostenuto,,66,,0,127,,,,,0-based,,
Roland,XV-5050,,Soft,,67,,0,127,,,,,0-based,,
Roland,XV-5050,,Legato,,68,,0,127,,,,,0-based,,
Roland,XV-5050,,Hold2,,69,,0,127,,,,,0-based,,
Roland,XV-5050,,VCF Cutf,,74,,0,127,,,,,0-based,,
Roland,XV-5050,,VCF RES,,71,,0,127,,,,,0-based,,
Roland,XV-5050,,ENV ATK,,73,,0,127,,,,,0-based,,
Roland,XV-5050,,ENV DEC,,75,,0,127,,,,,0-based,,
Roland,XV-5050,,ENV REL,,72,,0,127,,,,,0-based,,
Roland,XV-5050,,VIB Rate,,76,,0,127,,,,,0-based,,
Roland,XV-5050,,VIB Dpth,,77,,0,127,,,,,0-based,,
Roland,XV-5050,,VIB DLY,,78,,0,127,,,,,0-based,,
Roland,XV-5050,,Ctrl5,,80,,0,127,,,,,0-based,,
Roland,XV-5050,,Ctrl6,,81,,0,127,,,,,0-based,,
Roland,XV-5050,,Ctrl7,,82,,0,127,,,,,0-based,,
Roland,XV-5050,,Ctrl8,,83,,0,127,,,,,0-based,,
Roland,XV-5050,,Porta Ctrl,,84,,0,127,,,,,0-based,,
Roland,XV-5050,,Custom1,,85,,0,127,,,,,0-based,,
Roland,XV-5050,,Custom2,,86,,0,127,,,,,0-based,,
Roland,XV-5050,,Custom3,,87,,0,127,,,,,0-based,,
Roland,XV-5050,,Custom4,,88,,0,127,,,,,0-based,,
Roland,XV-5050,,FX1,,91,,0,127,,,,,0-based,,
Roland,XV-5050,,FX3,,93,,0,127,,,,,0-based,,
