manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Schmidt,Synthesizer,Bank select,Bank select MSB,,0,,0,0,,,,,,,0-based,MSB is fixed at 0,
Schmidt,Synthesizer,Bank select,Bank select LSB,,32,,0,7,,,,,,,0-based,LSB selects Single (0) or Multi (1-7) bank,
Schmidt,Synthesizer,Performance,Modulation wheel MSB,,1,,0,127,,,,,,,0-based,LSB (CC 33) only sent when Snd-CC14Bit is on,
Schmidt,Synthesizer,Performance,Modulation wheel LSB,,33,,0,127,,,,,,,0-based,Only sent when Snd-CC14Bit is on,
Schmidt,Synthesizer,Performance,Volume MSB,,7,,0,127,,,,,,,0-based,LSB (CC 39) only sent when Snd-CC14Bit is on,
Schmidt,Synthesizer,Performance,Volume LSB,,39,,0,127,,,,,,,0-based,Only sent when Snd-CC14Bit is on,
Schmidt,Synthesizer,Performance,Sustain,,64,,0,127,,,,,,,0-based,,
Schmidt,Synthesizer,Performance,Sostenuto,,66,,0,127,,,,,,,0-based,,
Schmidt,Synthesizer,Performance,Joystick X position,,102,,0,127,,,,,,,0-based,,
Schmidt,Synthesizer,Performance,Joystick Y position,,103,,0,127,,,,,,,0-based,,
Schmidt,Synthesizer,Performance,External pedal 1,,104,,0,127,,,,,,,0-based,,
Schmidt,Synthesizer,Performance,External pedal 2,,105,,0,127,,,,,,,0-based,,
Schmidt,Synthesizer,Performance,External pedal 3,,106,,0,127,,,,,,,0-based,,
Schmidt,Synthesizer,NRPN protocol,Data entry MSB,,6,,0,127,,,,,,,0-based,NRPN value transport,
Schmidt,Synthesizer,NRPN protocol,Data entry LSB,,38,,0,127,,,,,,,0-based,NRPN value transport,
Schmidt,Synthesizer,NRPN protocol,NRPN number LSB,,98,,0,127,,,,,,,0-based,NRPN parameter number transport. When NRPN = 127 MSB + 127 LSB all subsequent data entries are ignored,
Schmidt,Synthesizer,NRPN protocol,NRPN number MSB,,99,,0,127,,,,,,,0-based,NRPN parameter number transport,
Schmidt,Synthesizer,Display,LED color,,107,,0,63,,,,,,,0-based,Receive only,
Schmidt,Synthesizer,Display,Display color,,108,,0,63,,,,,,,0-based,Receive only,
Schmidt,Synthesizer,Display,LED and display color,,109,,0,63,,,,,,,0-based,Receive only,
Schmidt,Synthesizer,Channel mode,Reset all controllers,,121,,,,,,,,,,0-based,Single mode only. Receive only,
Schmidt,Synthesizer,Channel mode,Local control,,122,,0,127,,,,,,,0-based,Receive only,
Schmidt,Synthesizer,Channel mode,All notes off,,123,,,,,,,,,,0-based,Receive only,
Schmidt,Synthesizer,Oscillators 1-3,Pulse width max limit,,,,,,,1,26,0,255,,0-based,Bit-packed NRPN 154 (LMKKMVXR). L at bit 7. Byte += 128 when set,0-127: Off; 128-255: On
Schmidt,Synthesizer,Oscillators 1-3,Pulse width LFO mode,,,,,,,1,26,0,255,,0-based,Bit-packed NRPN 154 (LMKKMVXR). MM split across bits 6 and 3. Byte += bit6 * 64 + bit3 * 8,0: Triangle; 1: One-shot; 2: Sine
Schmidt,Synthesizer,Oscillators 1-3,Pulse width keyboard scale,,,,,,,1,26,0,255,,0-based,Bit-packed NRPN 154 (LMKKMVXR). KK at bits 5-4. Byte += field * 16,0: Off; 2: 1/4; 3: 1/2
Schmidt,Synthesizer,Oscillators 1-3,Pulse width velocity to LFO depth,,,,,,,1,26,0,255,,0-based,Bit-packed NRPN 154 (LMKKMVXR). V at bit 2. Byte += 4 when set,
Schmidt,Synthesizer,Oscillators 1-3,Pulse width rate 1 to rate 2/3,,,,,,,1,26,0,255,,0-based,Bit-packed NRPN 154 (LMKKMVXR). R at bit 0. Byte += 1 when set,
Schmidt,Synthesizer,Oscillators 1-4,Vibrato assign,,,,,,,1,94,0,255,,0-based,Bit-packed NRPN 222. Bit 7 disables assignment. Byte += 128 when off,0-127: On; 128-255: Off
Schmidt,Synthesizer,Oscillators 1-4,Envelope assign,,,,,,,1,95,0,255,,0-based,Bit-packed NRPN 223. Bit 7 disables assignment. Byte += 128 when off,0-127: On; 128-255: Off
Schmidt,Synthesizer,Oscillators 1-4,Unison tune (mono),,,,,,,0,72,0,255,,0-based,,
Schmidt,Synthesizer,Oscillators 1-4,Single fine tune,,,,,,,0,73,0,255,,centered,,0~127: -50 cent; 128: 0; 129~255: +50 cent
Schmidt,Synthesizer,Oscillators 1-4,Single transpose,,,,,,,0,74,0,255,,centered,,244~255: -12 to -1 semitones; 0~12: 0 to +12 semitones
Schmidt,Synthesizer,Oscillator 1,Vibrato wave,,,,,,,1,78,0,3,,0-based,,0: Sine; 1: Square; 2: Random; 3: Sine/Random
Schmidt,Synthesizer,Oscillator 1,Vibrato depth,,,,,,,1,70,0,255,,0-based,,
Schmidt,Synthesizer,Oscillator 1,Vibrato rate,,,,,,,1,74,0,255,,0-based,0.1Hz-75Hz (all waves except Random). 0.2Hz-150Hz (Random),
Schmidt,Synthesizer,Oscillator 1,Envelope destination,,,,,,,1,90,0,255,,0-based,Bit-packed NRPN 218 (DDXXQMVM). DD at bits 7-6. Byte += field * 64,0-63: Pitch; 128-191: Vibrato depth; 192-255: Noise depth
Schmidt,Synthesizer,Oscillator 1,Envelope mode,,,,,,,1,90,0,255,,0-based,Bit-packed NRPN 218 (DDXXQMVM). MM split across bits 2 and 0. Byte += bit2 * 4 + bit0 * 1,0: Decay exp; 1: Attack/decay; 4: Decay lin
Schmidt,Synthesizer,Oscillator 1,Envelope quantize,,,,,,,1,90,0,255,,0-based,Bit-packed NRPN 218 (DDXXQMVM). Q at bit 3. Byte += 8 when set,
Schmidt,Synthesizer,Oscillator 1,Envelope velocity,,,,,,,1,90,0,255,,0-based,Bit-packed NRPN 218 (DDXXQMVM). V at bit 1. Byte += 2 when set,
Schmidt,Synthesizer,Oscillator 1,Envelope depth,,,,,,,1,82,0,255,,centered,,0~255: -15 to +15 semitones
Schmidt,Synthesizer,Oscillator 1,Envelope time,,,,,,,1,86,0,255,,0-based,12ms-6.1s (decay lin/exp modes). 7.5ms-3.8s (attack/decay mode),
Schmidt,Synthesizer,Oscillator 1,Noise modulation,,,,,,,1,24,0,255,,0-based,,
Schmidt,Synthesizer,Oscillator 1,Detune,,,,,,,1,21,0,255,,centered,Fine on: +/-15 cent. Fine off: +/-75 cent,
Schmidt,Synthesizer,Oscillator 1,Semitone,,,,,,,1,25,2,30,,centered,"Discrete values stepped by 2 (2, 4, 6, ..., 30)",2~30: -7 to +7 semitones
