manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Sequential,Fourm,,Bank Select MSB,,0,,0,3,,,,,,,0-based,,
Sequential,Fourm,,Mod Wheel,,1,,0,127,,,,,,,0-based,,
Sequential,Fourm,,Breath Controller,,2,,0,127,,,,,,,0-based,,
Sequential,Fourm,,Pitch Bend Range,,3,,0,12,,,,,,,0-based,,
Sequential,Fourm,,Foot Controller,,4,,0,127,,,,,,,0-based,,
Sequential,Fourm,,Data Entry MSB,,6,,0,127,,,,,,,0-based,,
Sequential,Fourm,,Master Volume,,7,,0,127,,,,,,,0-based,,
Sequential,Fourm,,Expression Pedal,,11,,0,127,,,,,,,0-based,,
Sequential,Fourm,,Osc1 Octave,,12,,0,4,,,,,,,0-based,,
Sequential,Fourm,,Osc1 Freq,,13,,0,127,,,,,,,0-based,,
Sequential,Fourm,,Osc1 Sync,,14,,0,1,,,,,,,0-based,,
Sequential,Fourm,,Osc1 Saw,,15,,0,1,,,,,,,0-based,,
Sequential,Fourm,,Osc1 Pulse,,16,,0,1,,,,,,,0-based,,
Sequential,Fourm,,Osc1 PW,,17,,0,127,,,,,,,0-based,,
Sequential,Fourm,,Osc1 Level,,18,,0,127,,,,,,,0-based,,
Sequential,Fourm,,Osc2 Octave,,19,,0,6,,,,,,,0-based,,
Sequential,Fourm,,Osc2 Freq,,20,,0,127,,,,,,,0-based,,
Sequential,Fourm,,Osc2 Tri,,21,,0,1,,,,,,,0-based,,
Sequential,Fourm,,Osc2 Saw,,22,,0,1,,,,,,,0-based,,
Sequential,Fourm,,Osc2 Pulse,,23,,0,1,,,,,,,0-based,,
Sequential,Fourm,,Osc2 PW,,24,,0,127,,,,,,,0-based,,
Sequential,Fourm,,Osc2 Level,,25,,0,127,,,,,,,0-based,,
Sequential,Fourm,,Noise On,,26,,0,1,,,,,,,0-based,,
Sequential,Fourm,,Noise Level,,27,,0,127,,,,,,,0-based,,
Sequential,Fourm,,Noise Type,,28,,0,2,,,,,,,0-based,,
Sequential,Fourm,,Unison On,,29,,0,1,,,,,,,0-based,,
Sequential,Fourm,,Unison Voices,,30,,0,4,,,,,,,0-based,,
Sequential,Fourm,,Unison Detune,,31,,0,127,,,,,,,0-based,,
Sequential,Fourm,,Bank Select LSB,,32,,0,3,,,,,,,0-based,,
Sequential,Fourm,,Glide On,,33,,0,1,,,,,,,0-based,,
Sequential,Fourm,,Glide Rate,,34,,0,127,,,,,,,0-based,,
Sequential,Fourm,,Glide Mode,,35,,0,3,,,,,,,0-based,,
Sequential,Fourm,,KeyMode,,36,,0,2,,,,,,,0-based,,
Sequential,Fourm,,Env Retrig,,37,,0,1,,,,,,,0-based,,
Sequential,Fourm,,Data Entry LSB,,38,,0,127,,,,,,,0-based,,
