manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Sequential,Pro 2,,Mod Wheel,,1,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Breath,,2,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,BPM,,3,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Foot Controller,,4,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Glide Mode,,5,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Data Entry MSB,,6,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Volume,,7,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Osc 1 Sub Octave,,8,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Distortion Amount,,9,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Expression,,10,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Slider 1 Position,,14,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Slider 2 Position,,15,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Slider 1 Pressure,,16,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Slider 2 Pressure,,17,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Delay 1 Time,,18,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Delay 1 Sync,,19,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Delay 1 Amount,,20,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Delay 1 Feedback,,21,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Delay 2 Time,,23,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Delay 2 Sync,,24,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Delay 2 Amount,,25,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Delay 2 Feedback,,26,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Delay 3 Time,,28,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Delay 3 Sync,,29,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Delay 3 Amount,,30,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Delay 3 Feedback,,31,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Bank Select,,32,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Delay 4 Time,,33,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Delay 4 Sync,,34,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Delay 4 Amount,,35,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Delay 4 Feedback,,36,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Data Entry LSB,,38,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Program Volume,,39,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,VCA Envelope Amt,,40,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Velocity to VCA Env Amt,,41,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,VCA Env Delay,,42,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,VCA Env Attack,,43,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,VCA Env Decay,,44,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,VCA Env Sustain,,45,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,VCA Env Release,,46,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,F1 Envelope Amt,,47,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Velocity to F1 Env Amt,,48,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,F1 Env Delay,,49,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,F1 Env Attack,,50,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,F1 Env Decay,,51,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,F1 Env Sustain,,52,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,F1 Env Release,,53,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Osc 1 Glide Amt,,54,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Osc 2 Glide Amt,,55,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Osc 3 Glide Amt,,56,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Osc 4 Glide Amt,,57,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Arpeggiator On/Off,,58,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Arpeggiator Mode,,59,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Arpeggiator Range,,60,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Arp Auto Latch On/Off,,61,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Seq/Arp Clock Divide,,62,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Arp Repeats,,63,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Pedal 2,,64,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Glide On/Off,,65,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Osc 1 Pitch,,67,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Osc 1 Fine Tune,,68,,0,127,,,,,,,centered,,
Sequential,Pro 2,,Osc 1 Level,,69,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Osc 1 Shape,,70,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Osc 1 Shape Mod,,71,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Osc 1 FM,,72,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Osc 1 AM,,73,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Brightness,,74,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Osc 2 Pitch,,75,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Osc 2 Fine Tune,,76,,0,127,,,,,,,centered,,
Sequential,Pro 2,,Osc 2 Level,,77,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Osc 2 Shape,,78,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Osc 2 Shape Mod,,79,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Osc 2 FM,,80,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Osc 2 AM,,81,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Osc 3 Pitch,,82,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Osc 3 Fine Tune,,83,,0,127,,,,,,,centered,,
Sequential,Pro 2,,Osc 3 Level,,84,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Osc 3 Shape,,85,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Osc 3 Shape Mod,,86,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Osc 3 FM,,87,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Osc 3 AM,,88,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Osc 4 Pitch,,89,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Osc 4 Fine Tune,,90,,0,127,,,,,,,centered,,
Sequential,Pro 2,,Osc 4 Level,,91,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Osc 4 Shape,,92,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Osc 4 Shape Mod,,93,,0,127,,,,,,,0-based,,
Sequential,Pro 2,,Osc 4 FM,,94,,0,127,,,,,,,0-based,,
