manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Sequential,Prophet VS,Oscillators,Wave A,,0,0,0,127,,,,,,,0-based,,
Sequential,Prophet VS,Oscillators,Wave B,,0,1,0,127,,,,,,,0-based,,
Sequential,Prophet VS,Oscillators,Wave C,,0,2,0,127,,,,,,,0-based,,
Sequential,Prophet VS,Oscillators,Wave D,,0,3,0,127,,,,,,,0-based,,
Sequential,Prophet VS,Oscillators,Coarse frequency A,,0,4,0,24,,,,,,,0-based,,
Sequential,Prophet VS,Oscillators,Coarse frequency B,,0,5,0,24,,,,,,,0-based,,
Sequential,Prophet VS,Oscillators,Coarse frequency C,,0,6,0,24,,,,,,,0-based,,
Sequential,Prophet VS,Oscillators,Coarse frequency D,,0,7,0,24,,,,,,,0-based,,
Sequential,Prophet VS,Oscillators,Fine frequency A,,0,8,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Oscillators,Fine frequency B,,0,9,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Oscillators,Fine frequency C,,0,10,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Oscillators,Fine frequency D,,0,11,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Filter,Filter cutoff,,0,12,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Filter,Resonance,,0,13,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Filter,Filter envelope amount,,0,14,0,99,,,,,,,0-based,,
Sequential,Prophet VS,LFOs,LFO 1 shape,,0,16,0,4,,,,,,,0-based,,
Sequential,Prophet VS,LFOs,LFO 2 shape,,0,16,0,4,,,,,,,0-based,,
Sequential,Prophet VS,LFOs,LFO 1 rate,,0,17,0,99,,,,,,,0-based,,
Sequential,Prophet VS,LFOs,LFO 2 rate,,0,18,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Amplifier envelope,Rate 1,,0,19,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Amplifier envelope,Rate 2,,0,20,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Amplifier envelope,Rate 3,,0,21,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Amplifier envelope,Rate 4,,0,22,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Amplifier envelope,Rate 4A,,0,23,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Amplifier envelope,Level 0,,0,24,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Amplifier envelope,Level 1,,0,25,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Amplifier envelope,Level 2,,0,26,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Amplifier envelope,Level 3,,0,27,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Amplifier envelope,Loop,,0,28,0,6,,,,,,,0-based,,
Sequential,Prophet VS,Amplifier envelope,Repeat,,0,29,0,7,,,,,,,0-based,,
Sequential,Prophet VS,Filter envelope,Rate 1,,0,30,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Filter envelope,Rate 2,,0,31,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Filter envelope,Rate 3,,0,32,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Filter envelope,Rate 4,,0,33,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Filter envelope,Rate 4A,,0,34,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Filter envelope,Level 0,,0,35,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Filter envelope,Level 1,,0,36,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Filter envelope,Level 2,,0,37,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Filter envelope,Level 3,,0,38,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Filter envelope,Level 4,,0,39,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Filter envelope,Loop,,0,40,0,6,,,,,,,0-based,,
Sequential,Prophet VS,Filter envelope,Repeat,,0,41,0,7,,,,,,,0-based,,
Sequential,Prophet VS,Mix envelope,Rate 1,,0,42,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Mix envelope,Rate 2,,0,43,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Mix envelope,Rate 3,,0,44,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Mix envelope,Rate 4,,0,45,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Mix envelope,Rate 4A,,0,46,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Mix envelope,X level 0,,0,47,0,127,,,,,,,centered,,
Sequential,Prophet VS,Mix envelope,X level 1,,0,48,0,127,,,,,,,centered,,
Sequential,Prophet VS,Mix envelope,X level 2,,0,49,0,127,,,,,,,centered,,
Sequential,Prophet VS,Mix envelope,X level 3,,0,50,0,127,,,,,,,centered,,
Sequential,Prophet VS,Mix envelope,X level 4,,0,51,0,127,,,,,,,centered,,
Sequential,Prophet VS,Mix envelope,Y level 0,,0,52,0,127,,,,,,,centered,,
Sequential,Prophet VS,Mix envelope,Y level 1,,0,53,0,127,,,,,,,centered,,
Sequential,Prophet VS,Mix envelope,Y level 2,,0,54,0,127,,,,,,,centered,,
Sequential,Prophet VS,Mix envelope,Y level 3,,0,55,0,127,,,,,,,centered,,
Sequential,Prophet VS,Mix envelope,Y level 4,,0,56,0,127,,,,,,,centered,,
Sequential,Prophet VS,Mix envelope,Loop,,0,57,0,127,,,,,,,0-based,,
Sequential,Prophet VS,Mix envelope,Repeat,,0,58,0,127,,,,,,,0-based,,
Sequential,Prophet VS,Modes,Keyboard mode,,0,59,0,2,,,,,,,0-based,,
Sequential,Prophet VS,Modes,Split point,,0,60,0,127,,,,,,,0-based,,
Sequential,Prophet VS,Modes,Link program,,0,61,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Modes,Double-mode detune,,0,62,0,31,,,,,,,0-based,,
Sequential,Prophet VS,Modes,Double-mode delay,,0,63,0,127,,,,,,,0-based,,
Sequential,Prophet VS,Modes,Unison detune,,0,64,0,7,,,,,,,0-based,,
Sequential,Prophet VS,Modes,Glide,,0,65,0,99,,,,,,,0-based,,
Sequential,Prophet VS,Modes,Chorus right/left,,0,66,0,3,,,,,,,0-based,,
