manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Sequential,Prophet-6,,MSB,,,,0,127,,,,,0-based,,
Sequential,Prophet-6,,MOD Wheel,,1,,0,127,,,,,0-based,,
Sequential,Prophet-6,,BPM,,3,,0,127,,,,,0-based,,
Sequential,Prophet-6,,Foot Controller,,4,,0,127,,,,,0-based,,
Sequential,Prophet-6,,Glide Mode,,5,,0,127,,,,,0-based,,
Sequential,Prophet-6,,Data Entry MSB,,6,,0,127,,,,,0-based,,
Sequential,Prophet-6,,Midi Volume,,7,,0,127,,,,,0-based,,
Sequential,Prophet-6,,SUB OSC Level,,8,,0,127,,,,,0-based,,
Sequential,Prophet-6,,Distortion Amount,,9,,0,127,,,,,0-based,,
Sequential,Prophet-6,,Data Entry LSB,,38,,0,127,,,,,0-based,,
Sequential,Prophet-6,,Volume LSB,,39,,0,127,,,,,0-based,,
Sequential,Prophet-6,,VCA ENV AMT,,40,,0,127,,,,,0-based,,
Sequential,Prophet-6,,VCA ENV VEL AMT,,41,,0,127,,,,,0-based,,
Sequential,Prophet-6,,VCA ENV Attack,,43,,0,127,,,,,0-based,,
Sequential,Prophet-6,,VCA ENV Decay,,44,,0,127,,,,,0-based,,
Sequential,Prophet-6,,VCA ENV Sustain,,45,,0,127,,,,,0-based,,
Sequential,Prophet-6,,VCA ENV Release,,46,,0,127,,,,,0-based,,
Sequential,Prophet-6,,LOW Pass ENV AMT,,47,,0,127,,,,,0-based,,
Sequential,Prophet-6,,Filter ENV Attack,,50,,0,127,,,,,0-based,,
Sequential,Prophet-6,,Filter ENV Decay,,51,,0,127,,,,,0-based,,
Sequential,Prophet-6,,Filter ENV Sustain,,52,,0,127,,,,,0-based,,
Sequential,Prophet-6,,Filter ENV Release,,53,,0,127,,,,,0-based,,
Sequential,Prophet-6,,High Pass ENV AMT,,54,,0,127,,,,,0-based,,
Sequential,Prophet-6,,ARP ON OFF,,58,,0,127,,,,,0-based,,
Sequential,Prophet-6,,ARP Mode,,59,,0,127,,,,,0-based,,
Sequential,Prophet-6,,ARP Range,,60,,0,127,,,,,0-based,,
Sequential,Prophet-6,,ARP Time Signature,,62,,0,127,,,,,0-based,,
Sequential,Prophet-6,,Damper Pedal,,64,,0,127,,,,,0-based,,
Sequential,Prophet-6,,Glide ON OFF,,65,,0,127,,,,,0-based,,
Sequential,Prophet-6,,OSC1 Freq,,67,,0,127,,,,,0-based,,
Sequential,Prophet-6,,OSC1 Level,,69,,0,127,,,,,0-based,,
Sequential,Prophet-6,,OSC1 Shape,,70,,0,127,,,,,0-based,,
Sequential,Prophet-6,,OSC1 PW,,71,,0,127,,,,,0-based,,
Sequential,Prophet-6,,Brightness,,74,,0,127,,,,,0-based,,
Sequential,Prophet-6,,OSC2 Freq,,75,,0,127,,,,,0-based,,
Sequential,Prophet-6,,OSC2 Freq Fine,,76,,0,127,,,,,0-based,,
Sequential,Prophet-6,,OSC2 Level,,77,,0,127,,,,,0-based,,
Sequential,Prophet-6,,OSC2 Shape,,78,,0,127,,,,,0-based,,
Sequential,Prophet-6,,OSC2 PW,,79,,0,127,,,,,0-based,,
Sequential,Prophet-6,,Data Increment,,96,,0,127,,,,,0-based,,
Sequential,Prophet-6,,Data Decrement,,97,,0,127,,,,,0-based,,
Sequential,Prophet-6,,Nrpn Param LSB,,98,,0,127,,,,,0-based,,
Sequential,Prophet-6,,Nrpn Param MSB,,99,,0,127,,,,,0-based,,
Sequential,Prophet-6,,RPN Param LSB,,100,,0,127,,,,,0-based,,
Sequential,Prophet-6,,RPN Param MSB,,101,,0,127,,,,,0-based,,
Sequential,Prophet-6,,LOW Pass Freq,,102,,0,127,,,,,0-based,,
Sequential,Prophet-6,,LOW Pass Resonance,,103,,0,127,,,,,0-based,,
Sequential,Prophet-6,,LOW Pass KEY AMT,,104,,0,127,,,,,0-based,,
Sequential,Prophet-6,,LOW Pass VEL ON OFF,,105,,0,127,,,,,0-based,,
Sequential,Prophet-6,,High Pass Freq,,106,,0,127,,,,,0-based,,
Sequential,Prophet-6,,High Pass Resonance,,107,,0,127,,,,,0-based,,
Sequential,Prophet-6,,High Pass KEY AMT,,108,,0,127,,,,,0-based,,
Sequential,Prophet-6,,High Pass VEL ON OFF,,109,,0,127,,,,,0-based,,
Sequential,Prophet-6,,ALL Sound OFF,,120,,0,127,,,,,0-based,,
Sequential,Prophet-6,,Reset Controllers,,121,,0,127,,,,,0-based,,
Sequential,Prophet-6,,Reset Contro,,122,,0,127,,,,,0-based,,
Sequential,Prophet-6,,ALL Notes OFF,,123,,0,127,,,,,0-based,,
Sequential,Prophet-6,,Omni Mode OFF,,124,,0,127,,,,,0-based,,
Sequential,Prophet-6,,Omni Mode ON,,125,,0,127,,,,,0-based,,
Sequential,Prophet-6,,Mono Mode ON,,126,,0,127,,,,,0-based,,
Sequential,Prophet-6,,Poly Mode ON,,127,,0,127,,,,,0-based,,
