manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Sequential,Rev2,Oscillators,Sub Oscillator,,8,,0,127,,,,,,,0-based,,
Sequential,Rev2,Oscillators,Osc. Slop,,9,,0,127,,,,,,,0-based,,
Sequential,Rev2,Oscillators,Osc 1 Frequency,,20,,0,127,,,,,,,0-based,,
Sequential,Rev2,Oscillators,Osc 1 Fine Tune,,21,,0,127,,,,,,,0-based,,
Sequential,Rev2,Oscillators,Osc 1 Shape,,22,,0,127,,,,,,,0-based,,
Sequential,Rev2,Oscillators,Osc 1 Glide Rate/Time,,23,,0,127,,,,,,,0-based,,
Sequential,Rev2,Oscillators,Osc 2 Frequency,,24,,0,127,,,,,,,0-based,,
Sequential,Rev2,Oscillators,Osc 2 Fine Tune,,25,,0,127,,,,,,,0-based,,
Sequential,Rev2,Oscillators,Osc 2 Shape,,26,,0,127,,,,,,,0-based,,
Sequential,Rev2,Oscillators,Osc 2 Glide Rate/Time,,27,,0,127,,,,,,,0-based,,
Sequential,Rev2,Oscillators,Osc Mix,,28,,0,127,,,,,,,0-based,,
Sequential,Rev2,Oscillators,Noise Level,,29,,0,127,,,,,,,0-based,,
Sequential,Rev2,Oscillators,Osc 1 Shape Mod,,30,,0,127,,,,,,,0-based,,
Sequential,Rev2,Oscillators,Osc 2 Shape Mod,,31,,0,127,,,,,,,0-based,,
Sequential,Rev2,Voicing,Voice Volume,,37,,0,127,,,,,,,0-based,,
Sequential,Rev2,Filter,Filter Frequency,,102,,0,127,,,,,,,0-based,,
Sequential,Rev2,Filter,Resonance,,103,,0,127,,,,,,,0-based,,
Sequential,Rev2,Filter,Filter Key Amount,,104,,0,127,,,,,,,0-based,,
Sequential,Rev2,Filter,Filter Audio Mount,,105,,0,127,,,,,,,0-based,,
Sequential,Rev2,Filter,Filter Env.Amount,,106,,0,127,,,,,,,0-based,,
Sequential,Rev2,Filter,Filter Env.Velocity,,107,,0,127,,,,,,,0-based,,
Sequential,Rev2,Filter,Filter Delay,,108,,0,127,,,,,,,0-based,,
Sequential,Rev2,Filter,Filter Attack,,109,,0,127,,,,,,,0-based,,
