manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Sequential,Take 5,,MOD Wheel,,1,,0,127,,,,,0-based,,
Sequential,Take 5,,Breath,,2,,0,127,,,,,0-based,,
Sequential,Take 5,,BPM,,3,,0,127,,,,,0-based,,
Sequential,Take 5,,Foot Controller,,4,,0,127,,,,,0-based,,
Sequential,Take 5,,Glide Mode,,5,,0,127,,,,,0-based,,
Sequential,Take 5,,Data Entry MSB,,6,,0,127,,,,,0-based,,
Sequential,Take 5,,Master Volume,,7,,0,127,,,,,0-based,,
Sequential,Take 5,,OSC1 Octave04,,8,,0,127,,,,,0-based,,
Sequential,Take 5,,OSC1 Fine Freq,,9,,0,127,,,,,0-based,,
Sequential,Take 5,,OSC1 Shape,,10,,0,127,,,,,0-based,,
Sequential,Take 5,,Expression Pedal,,11,,0,127,,,,,0-based,,
Sequential,Take 5,,Voice Volume,,12,,0,127,,,,,0-based,,
Sequential,Take 5,,OSC2 Octave04,,13,,0,127,,,,,0-based,,
Sequential,Take 5,,OSC2 Fine Freq,,14,,0,127,,,,,0-based,,
Sequential,Take 5,,OSC2 Shape,,15,,0,127,,,,,0-based,,
Sequential,Take 5,,FX ON Off01,,16,,0,127,,,,,0-based,,
Sequential,Take 5,,FX Type08,,17,,0,127,,,,,0-based,,
Sequential,Take 5,,FX Depth MIX,,18,,0,127,,,,,0-based,,
Sequential,Take 5,,FX Time,,19,,0,127,,,,,0-based,,
Sequential,Take 5,,FX Feedback Misc,,20,,0,127,,,,,0-based,,
Sequential,Take 5,,FX Clock Sync ON Off01,,21,,0,127,,,,,0-based,,
Sequential,Take 5,,FX Clock Sync Rate010,,22,,0,127,,,,,0-based,,
Sequential,Take 5,,Reverb ON Off01,,23,,0,127,,,,,0-based,,
Sequential,Take 5,,Reverb WET DRY MIX,,24,,0,127,,,,,0-based,,
Sequential,Take 5,,Reverb Size,,25,,0,127,,,,,0-based,,
Sequential,Take 5,,Reverb Predelay,,26,,0,127,,,,,0-based,,
Sequential,Take 5,,Reverb Decay,,27,,0,127,,,,,0-based,,
Sequential,Take 5,,Reverb Tone,,28,,0,127,,,,,0-based,,
Sequential,Take 5,,1 Oct01,,29,,0,127,,,,,0-based,,
Sequential,Take 5,,2 Oct01,,30,,0,127,,,,,0-based,,
Sequential,Take 5,,Unison ON Off01,,31,,0,127,,,,,0-based,,
Sequential,Take 5,,Bank Select LSB,,32,,0,127,,,,,0-based,,
Sequential,Take 5,,Filter Cutoff,,33,,0,127,,,,,0-based,,
Sequential,Take 5,,Filter Resonance,,34,,0,127,,,,,0-based,,
Sequential,Take 5,,Filter Drive,,35,,0,127,,,,,0-based,,
Sequential,Take 5,,Filter KEY Tracking,,36,,0,127,,,,,0-based,,
Sequential,Take 5,,Vintage,,37,,0,127,,,,,0-based,,
Sequential,Take 5,,Data Entry LSB,,38,,0,127,,,,,0-based,,
Sequential,Take 5,,OSC Sync01,,39,,0,127,,,,,0-based,,
Sequential,Take 5,,OSC1 Level,,40,,0,127,,,,,0-based,,
Sequential,Take 5,,OSC2 Level,,41,,0,127,,,,,0-based,,
Sequential,Take 5,,SUB OSC Level,,42,,0,127,,,,,0-based,,
Sequential,Take 5,,Noise Level,,43,,0,127,,,,,0-based,,
Sequential,Take 5,,FM ON OF01,,44,,0,127,,,,,0-based,,
Sequential,Take 5,,ENV1 Delay,,45,,0,127,,,,,0-based,,
Sequential,Take 5,,ENV1 Attack,,46,,0,127,,,,,0-based,,
Sequential,Take 5,,ENV1 Decay,,47,,0,127,,,,,0-based,,
Sequential,Take 5,,ENV1 Sustain,,48,,0,127,,,,,0-based,,
Sequential,Take 5,,ENV1 Release,,49,,0,127,,,,,0-based,,
Sequential,Take 5,,ENV1 Amount,,50,,0,127,,,,,0-based,,
Sequential,Take 5,,ENV1 VEL ON Off01,,51,,0,127,,,,,0-based,,
Sequential,Take 5,,ENV2 DEL,,52,,0,127,,,,,0-based,,
Sequential,Take 5,,ENV2 Attack,,53,,0,127,,,,,0-based,,
Sequential,Take 5,,ENV2 Decay,,54,,0,127,,,,,0-based,,
Sequential,Take 5,,ENV2 Sustain,,55,,0,127,,,,,0-based,,
Sequential,Take 5,,ENV2 Release,,56,,0,127,,,,,0-based,,
Sequential,Take 5,,ENV2 Amount,,57,,0,127,,,,,0-based,,
Sequential,Take 5,,ENV2 VEL ON Off01,,58,,0,127,,,,,0-based,,
Sequential,Take 5,,ARP ON Off01,,59,,0,127,,,,,0-based,,
Sequential,Take 5,,ARP Mode02,,60,,0,127,,,,,0-based,,
Sequential,Take 5,,ARP Octave02,,61,,0,127,,,,,0-based,,
Sequential,Take 5,,ARP Repeats03,,62,,0,127,,,,,0-based,,
Sequential,Take 5,,Clock Divide07,,63,,0,127,,,,,0-based,,
Sequential,Take 5,,Sustain Pedal,,64,,0,127,,,,,0-based,,
Sequential,Take 5,,OSC1 Glide Rate,,65,,0,127,,,,,0-based,,
Sequential,Take 5,,OSC2 Glide Rate,,66,,0,127,,,,,0-based,,
Sequential,Take 5,,Distortion,,67,,0,127,,,,,0-based,,
Sequential,Take 5,,Glide ON Off01,,68,,0,127,,,,,0-based,,
Sequential,Take 5,,ENV Routing02,,69,,0,127,,,,,0-based,,
