manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Sherman,Filterbank,,Cutoff2,,1,,0,127,,,,,0-based,,
Sherman,Filterbank,,Resonance2,,2,,0,127,,,,,0-based,,
Sherman,Filterbank,,FM Depth,,4,,0,127,,,,,0-based,,
Sherman,Filterbank,,VCA Bias,,7,,0,127,,,,,0-based,,
Sherman,Filterbank,,AM Ring Depth,,11,,0,127,,,,,0-based,,
Sherman,Filterbank,,Adsr Attack,,5,,0,127,,,,,0-based,,
Sherman,Filterbank,,Adsr Decay,,16,,0,127,,,,,0-based,,
Sherman,Filterbank,,Adsr Release,,17,,0,127,,,,,0-based,,
Sherman,Filterbank,,AR Attack,,18,,0,127,,,,,0-based,,
Sherman,Filterbank,,AR Release,,19,,0,127,,,,,0-based,,
