manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Sonicware,ELZ_1 play V2,Layer,Layer pitch,,4,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,Layer,Layer detune,,5,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,Layer,Layer delay,,6,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,Layer,Layer level,,7,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,Layer,Layer enable,,8,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,Mixer,Mixer level,,7,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,Mixer,Mixer mute,,8,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,Mixer,Mixer EFX send,,9,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,Mixer,Mixer pan,,10,,0,127,,,,,,,centered,,
Sonicware,ELZ_1 play V2,OSC,OSC type select,,9,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,OSC,OSC parameter page 1-A,,12,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,OSC,OSC parameter page 1-B,,13,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,OSC,OSC parameter page 1-C,,14,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,OSC,OSC parameter page 1-D,,15,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,OSC,OSC parameter page 2-A,,16,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,OSC,OSC parameter page 2-B,,17,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,OSC,OSC parameter page 2-C,,18,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,OSC,OSC parameter page 2-D,,19,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,OSC,OSC parameter page 3-A,,20,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,OSC,OSC parameter page 3-B,,21,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,OSC,OSC parameter page 3-C,,22,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,OSC,OSC parameter page 3-D,,23,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,OSC,OSC parameter page 4-A,,24,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,OSC,OSC parameter page 4-B,,25,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,OSC,OSC parameter page 4-C,,26,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,OSC,OSC parameter page 4-D,,27,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,OSC,OSC parameter page 5-A,,28,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,OSC,OSC parameter page 5-B,,29,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,OSC,OSC parameter page 5-C,,30,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,OSC,OSC parameter page 5-D,,31,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,EFFECTS,DRIVE/MOD type select,,12,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,EFFECTS,DRIVE/MOD parameter A,,13,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,EFFECTS,DRIVE/MOD parameter B,,14,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,EFFECTS,DRIVE/MOD parameter C,,15,,0,127,,,,,,,0-based,,
Sonicware,ELZ_1 play V2,EFFECTS,DRIVE/MOD parameter D,,16,,0,127,,,,,,,0-based,,
