manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Sonicware,LIVEN 8bit warps,Performance,Glide/arpeggiator type,,5,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Performance,Voice mode,,52,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Synth,Synth engine,,20,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Synth,Octave,,21,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Synth,Velocity,,22,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Synth,Detune,,23,,0,127,,,,,,,centered,,
Sonicware,LIVEN 8bit warps,Synth,Synth parameter 1,,24,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Synth,Synth parameter 2,,25,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Synth,Synth parameter 3,,26,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Synth,Synth parameter 4,,27,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Synth,Synth parameter 5,,28,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Synth,Synth parameter 6,,29,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Synth,Alias noise,,30,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Filter,Filter active,,31,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Filter,Filter type,,32,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Filter,Filter cutoff,,33,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Filter,Filter resonance,,34,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Filter,Filter CO,,35,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,LFO,LFO rate,,36,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,LFO,LFO pitch,,37,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Envelope,Envelope attack,,38,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Envelope,Envelope decay,,39,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Envelope,Envelope sustain,,40,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Envelope,Envelope release,,41,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Sweep,Sweep,,42,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Sweep,Sweep speed,,43,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Sweep,Sweep shift,,44,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Effects,Effect type,,45,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Effects,Effect speed,,46,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Effects,Effect amount,,47,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Reverb,Reverb type,,48,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Reverb,Reverb,,49,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Sequencer,Gate time,,50,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Sequencer,Swing,,51,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Sequencer,Sequencer mode,,53,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Sequencer,Mem level,,54,,0,127,,,,,,,0-based,,
Sonicware,LIVEN 8bit warps,Sequencer,Parameter lock,,55,,0,127,,,,,,,0-based,,
