manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Sonicware,LIVEN BASS&BEAT,Pattern,Velocity,,5,,0,127,,,,,,,0-based,On pattern channel,
Sonicware,LIVEN BASS&BEAT,Pattern,Effect on/off,,20,,0,127,,,,,,,0-based,On pattern channel,
Sonicware,LIVEN BASS&BEAT,Pattern,Effect type,,21,,0,127,,,,,,,0-based,On pattern channel,
Sonicware,LIVEN BASS&BEAT,Pattern,Effect amount,,22,,0,127,,,,,,,0-based,On pattern channel,
Sonicware,LIVEN BASS&BEAT,Pattern,Pattern level,,23,,0,127,,,,,,,0-based,On pattern channel,
Sonicware,LIVEN BASS&BEAT,Pattern,Ducking,,24,,0,127,,,,,,,0-based,On pattern channel,
Sonicware,LIVEN BASS&BEAT,Pattern,Sequencer mode,,25,,0,127,,,,,,,0-based,On pattern channel,
Sonicware,LIVEN BASS&BEAT,Pattern,Line in to effect,,26,,0,127,,,,,,,0-based,On pattern channel,
Sonicware,LIVEN BASS&BEAT,Bass,Memory,,30,,0,127,,,,,,,0-based,On bass channel,
Sonicware,LIVEN BASS&BEAT,Bass,Assign 1,,31,,0,127,,,,,,,0-based,On bass channel,
Sonicware,LIVEN BASS&BEAT,Bass,Assign 2,,32,,0,127,,,,,,,0-based,On bass channel,
Sonicware,LIVEN BASS&BEAT,Bass,Dimension,,33,,0,127,,,,,,,0-based,On bass channel,
Sonicware,LIVEN BASS&BEAT,Bass,Pitch rate,,34,,0,127,,,,,,,0-based,On bass channel,
Sonicware,LIVEN BASS&BEAT,Bass,Pitch depth,,35,,0,127,,,,,,,0-based,On bass channel,
Sonicware,LIVEN BASS&BEAT,Bass,Release and gate,,36,,0,127,,,,,,,0-based,On bass channel,
Sonicware,LIVEN BASS&BEAT,Bass,M. gun,,37,,0,127,,,,,,,0-based,On bass channel,
Sonicware,LIVEN BASS&BEAT,Bass,Bank,,38,,0,127,,,,,,,0-based,On bass channel,
Sonicware,LIVEN BASS&BEAT,Bass,Sweep speed,,39,,0,127,,,,,,,0-based,On bass channel,
Sonicware,LIVEN BASS&BEAT,Bass,Sweep range,,40,,0,127,,,,,,,0-based,On bass channel,
Sonicware,LIVEN BASS&BEAT,Bass,Dice,,41,,0,127,,,,,,,0-based,On bass channel,
Sonicware,LIVEN BASS&BEAT,Bass,Octave,,46,,0,127,,,,,,,0-based,On bass channel,
Sonicware,LIVEN BASS&BEAT,Bass,Voice mode,,47,,0,127,,,,,,,0-based,On bass channel,
Sonicware,LIVEN BASS&BEAT,Bass,Glide,,48,,0,127,,,,,,,0-based,On bass channel,
Sonicware,LIVEN BASS&BEAT,Bass,Sweep,,49,,0,127,,,,,,,0-based,On bass channel,
Sonicware,LIVEN BASS&BEAT,Bass,Transpose,,50,,0,127,,,,,,,centered,On bass channel,
Sonicware,LIVEN BASS&BEAT,Drums,Level kick,,30,,0,127,,,,,,,0-based,On drum channel,
Sonicware,LIVEN BASS&BEAT,Drums,Level snare,,31,,0,127,,,,,,,0-based,On drum channel,
Sonicware,LIVEN BASS&BEAT,Drums,Level hat,,32,,0,127,,,,,,,0-based,On drum channel,
Sonicware,LIVEN BASS&BEAT,Drums,Level others,,33,,0,127,,,,,,,0-based,On drum channel,
Sonicware,LIVEN BASS&BEAT,Drums,Time kick 1,,34,,0,127,,,,,,,0-based,On drum channel,
Sonicware,LIVEN BASS&BEAT,Drums,Time snare 1,,35,,0,127,,,,,,,0-based,On drum channel,
Sonicware,LIVEN BASS&BEAT,Drums,Time hat 1,,36,,0,127,,,,,,,0-based,On drum channel,
Sonicware,LIVEN BASS&BEAT,Drums,Time EX 1,,37,,0,127,,,,,,,0-based,On drum channel,
Sonicware,LIVEN BASS&BEAT,Drums,Tune kick 1,,38,,0,127,,,,,,,0-based,On drum channel,
Sonicware,LIVEN BASS&BEAT,Drums,Tune snare 1,,39,,0,127,,,,,,,0-based,On drum channel,
Sonicware,LIVEN BASS&BEAT,Drums,Tune hat 1,,40,,0,127,,,,,,,0-based,On drum channel,
Sonicware,LIVEN BASS&BEAT,Drums,Tune hat 2,,41,,0,127,,,,,,,0-based,On drum channel,
Sonicware,LIVEN BASS&BEAT,Drums,Tune EX 1,,42,,0,127,,,,,,,0-based,On drum channel,
Sonicware,LIVEN BASS&BEAT,Drums,Tune EX 2,,43,,0,127,,,,,,,0-based,On drum channel,
Sonicware,LIVEN BASS&BEAT,Drums,Tune EX 3,,44,,0,127,,,,,,,0-based,On drum channel,
Sonicware,LIVEN BASS&BEAT,Drums,Tune EX 4,,45,,0,127,,,,,,,0-based,On drum channel,
Sonicware,LIVEN BASS&BEAT,Drums,Kit,,51,,0,127,,,,,,,0-based,On drum channel,
Sonicware,LIVEN BASS&BEAT,Track,Swing,,52,,0,127,,,,,,,0-based,,
Sonicware,LIVEN BASS&BEAT,Track,Random step,,53,,0,127,,,,,,,0-based,,
Sonicware,LIVEN BASS&BEAT,Track,Parameter lock,,54,,0,127,,,,,,,0-based,,
Sonicware,LIVEN BASS&BEAT,Track,Level,,55,,0,127,,,,,,,0-based,,
Sonicware,LIVEN BASS&BEAT,Track,Effect send,,56,,0,127,,,,,,,0-based,,
