manufacturer,device,section,sound_name,sound_description,midi_channel,note_number_min_value,note_number_max_value,note_number_default_value,comments,velocity_usage
Sonicware,LIVEN BASS&BEAT,Drum track,Kick 1,,basic,36,36,36,,
Sonicware,LIVEN BASS&BEAT,Drum track,Snare 1,,basic,38,38,38,,
Sonicware,LIVEN BASS&BEAT,Drum track,Hat 1,,basic,42,42,42,,
Sonicware,LIVEN BASS&BEAT,Drum track,Hat 2,,basic,46,46,46,,
Sonicware,LIVEN BASS&BEAT,Drum track,Cymbal 1,,basic,49,49,49,,
Sonicware,LIVEN BASS&BEAT,Drum track,Cymbal 2,,basic,51,51,51,,
Sonicware,LIVEN BASS&BEAT,Drum track,Clap,,basic,39,39,39,,
Sonicware,LIVEN BASS&BEAT,Drum track,Stick,,basic,37,37,37,,
Sonicware,LIVEN BASS&BEAT,Drum track,Kick 2,,basic,35,35,35,,
Sonicware,LIVEN BASS&BEAT,Drum track,Snare 2,,basic,40,40,40,,
Sonicware,LIVEN BASS&BEAT,Drum track,EX 1,,basic,60,60,60,,
Sonicware,LIVEN BASS&BEAT,Drum track,EX 2,,basic,61,61,61,,
Sonicware,LIVEN BASS&BEAT,Drum track,EX 3,,basic,62,62,62,,
Sonicware,LIVEN BASS&BEAT,Drum track,EX 4,,basic,63,63,63,,
Sonicware,LIVEN BASS&BEAT,Drum track,EX 5,,basic,64,64,64,,
Sonicware,LIVEN BASS&BEAT,Drum track,EX 6,,basic,65,65,65,,
