manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Sonicware,LIVEN Lofi-6,Sound,Synth,,5,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Sound,Sample,,27,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Sound,Octave,,28,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Sound,Start,,29,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Sound,Pitch,,31,,0,127,,,,,,,centered,,
Sonicware,LIVEN Lofi-6,Filter,Filter type,,36,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Filter,Filter cutoff,,37,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Filter,Filter resonance,,38,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Filter,Filter envelope depth,,39,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Filter,Filter envelope time,,40,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Amplifier,Attack,,49,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Amplifier,Release and gate,,46,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,LFO,LFO share,,41,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,LFO,LFO delay,,42,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,LFO,LFO rate,,43,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,LFO,LFO pitch,,44,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,LFO,LFO filter depth,,45,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Effects,Effect type,,20,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Effects,Effect speed,,21,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Effects,Effect amount,,22,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Effects,Tube,,23,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Reverb,Reverb send,,32,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Reverb,Reverb type,,33,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Reverb,Reverb mix,,34,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Reverb,Line in reverb send,,35,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Sweep,Sweep,,50,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Sweep,Sweep speed,,51,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Sweep,Sweep range,,52,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Sweep,Sweep curve,,53,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Sequencer,Pattern level,,24,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Sequencer,Sequencer mode,,25,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Sequencer,Bank,,26,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Sequencer,Laid-back,,30,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Sequencer,Swing,,48,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Sequencer,Dice,,47,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Sequencer,Random step,,57,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Voice,Voice mode,,54,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Voice,Voice adjust,,55,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Track,Track level,,59,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Track,Track pan,,60,,0,127,,,,,,,centered,,
Sonicware,LIVEN Lofi-6,Track,Track mute,,61,,0,127,,,,,,,0-based,,
Sonicware,LIVEN Lofi-6,Performance,Transpose,,56,,0,127,,,,,,,centered,,
Sonicware,LIVEN Lofi-6,Performance,Parameter lock,,58,,0,127,,,,,,,0-based,,
