manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Sonicware,Liven XFM,,Velocity,,5,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,FX Type,,20,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,FX Speed,,21,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,FX Amount,,22,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,PTN Level,,23,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,SEQ Mode,,24,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Line IN FX,,25,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Synth,,27,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Octave,,28,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Synth Param1,,29,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Synth Param2,,30,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Synth Param3,,31,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Synth Param4,,32,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Synth Param5,,33,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Synth Param6,,34,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Synth Param7,,35,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Synth Param8,,36,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Filter Type,,37,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Filter Cutoff,,38,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Filter Resonance,,39,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Filter ENV Depth,,40,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Filter ENV Time,,41,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,LFO Shape,,42,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,LFO Delay,,43,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,LFO Rate,,44,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,LFO Pitch,,45,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,LFO Filter Depth,,46,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Release Gate,,47,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Dice,,48,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Swing,,49,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,FX,,50,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Sweep,,51,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Sweep Speed,,52,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Sweep Range,,53,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Sweet Curve,,54,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Voice Mode,,55,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Voice ADJ,,56,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Transpose,,57,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Random Step,,58,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,PRM Lock,,59,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Track Level,,60,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Track PAN,,61,,0,127,,,,,0-based,,
Sonicware,Liven XFM,,Track Mute,,62,,0,127,,,,,0-based,,
