manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Sonicware,Lofi-12 XT,Playback,Pattern playback,,0,,0,127,,,,,,,0-based,Receive only. Project and auto channels,
Sonicware,Lofi-12 XT,Playback,Song playback,,1,,0,127,,,,,,,0-based,Receive only. Project and auto channels,
Sonicware,Lofi-12 XT,Mixer,Master level,,2,,0,127,,,,,,,0-based,Project and auto channels,
Sonicware,Lofi-12 XT,Mixer,Pattern level,,3,,0,127,,,,,,,0-based,Project and auto channels,
Sonicware,Lofi-12 XT,Mixer,External level,,4,,0,127,,,,,,,0-based,Project and auto channels,
Sonicware,Lofi-12 XT,Mixer,Mixer level,,112,,0,127,,,,,,,0-based,Track channel,
Sonicware,Lofi-12 XT,Master effects,Master effect type,,6,,0,127,,,,,,,0-based,Project channel,
Sonicware,Lofi-12 XT,Master effects,Master effect on/off,,7,,0,127,,,,,,,0-based,Project channel,
Sonicware,Lofi-12 XT,Master effects,Master effect parameter 1,,8,,0,127,,,,,,,0-based,Project channel,
Sonicware,Lofi-12 XT,Master effects,Master effect parameter 2,,9,,0,127,,,,,,,0-based,Project channel,
Sonicware,Lofi-12 XT,Master effects,Master effect parameter 3,,10,,0,127,,,,,,,0-based,Project channel,
Sonicware,Lofi-12 XT,Master effects,Master effect parameter 4,,11,,0,127,,,,,,,0-based,Project channel,
Sonicware,Lofi-12 XT,Master effects,Master effect parameter 5,,12,,0,127,,,,,,,0-based,Project channel,
Sonicware,Lofi-12 XT,Master effects,Master effect parameter 6,,13,,0,127,,,,,,,0-based,Project channel,
Sonicware,Lofi-12 XT,Delay,Delay mix,,14,,0,127,,,,,,,0-based,Project channel,
Sonicware,Lofi-12 XT,Delay,Delay input mute,,15,,0,127,,,,,,,0-based,Project channel,
Sonicware,Lofi-12 XT,Delay,Delay to reverb send,,16,,0,127,,,,,,,0-based,Project channel,
Sonicware,Lofi-12 XT,Delay,Delay time,,17,,0,127,,,,,,,0-based,Project channel,
Sonicware,Lofi-12 XT,Delay,Delay sync,,18,,0,127,,,,,,,0-based,Project channel,
Sonicware,Lofi-12 XT,Delay,Delay feedback,,19,,0,127,,,,,,,0-based,Project channel,
Sonicware,Lofi-12 XT,Delay,Delay width,,20,,0,127,,,,,,,0-based,Project channel,
Sonicware,Lofi-12 XT,Reverb,Reverb mix,,21,,0,127,,,,,,,0-based,Project channel,
Sonicware,Lofi-12 XT,Reverb,Reverb predelay,,22,,0,127,,,,,,,0-based,Project channel,
