manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Strymon,BigSky,Knobs,Type (reverb machine),Selects reverb machine (12 types),19,,0,11,,,,,0-based,,0-11: Select machine
Strymon,BigSky,Knobs,Decay,Reverb decay / RT60,17,,0,127,,,,,0-based,,0~127: Decay time
Strymon,BigSky,Knobs,Pre-Delay,Time before reverb onset,18,,0,127,,,,,0-based,,0~127: Pre-delay
Strymon,BigSky,Knobs,Mix,Analog dry/wet balance,15,,0,127,,,,,0-based,,0~127: Wet level
Strymon,BigSky,Knobs,Tone,Global high-end content,3,,0,127,,,,,0-based,,0~127: Tone
Strymon,BigSky,Knobs,Mod,Reverb modulation amount,14,,0,127,,,,,0-based,,0~127: Mod amount
Strymon,BigSky,Knobs,Param 1,Assignable per machine,9,,0,127,,,,,0-based,,0~127: Param 1
Strymon,BigSky,Knobs,Param 2,Assignable per machine,16,,0,127,,,,,0-based,,0~127: Param 2
Strymon,BigSky,Common Parameters,Boost,±3 dB output trim per preset,23,,0,60,,,,,Centered,Midpoint ≈ unity (0 dB).,0~60: -3 dB → +3 dB
Strymon,BigSky,Common Parameters,Persist (Trails),Reverb trails spillover when bypassed,22,,0,1,,,,,0-based,,0: Off; 1: On
Strymon,BigSky,Common Parameters,Hold Mode,Selects Freeze or Infinite for press-and-hold,70,,0,1,,,,,0-based,,0: Freeze; 1: Infinite
Strymon,BigSky,Common Parameters,Expression Enable,Enable/disable expression per preset,60,,0,1,,,,,0-based,,0: Off; 1: On
Strymon,BigSky,Common Parameters,MIDI Clock,Follow external MIDI clock,71,,0,1,,,,,0-based,Controls Pre-Delay on most machines; Decay on Magneto/Nonlinear.,0: Off; 1: On
Strymon,BigSky,Room,Low End,Low-frequency content / decay profile,61,,0,20,,,,,0-based,,0~20: Low End
