manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Strymon,Cloudburst,Program Select,Bank Select,,0,,0,2,,,,,,,0-based,Manual prints value 3 for the last option but states range 0-2; renumbered to match the stated range,0: Bank 1; 1: Bank 2; 2: Bank 3
Strymon,Cloudburst,Knobs,Ensemble,,11,,1,3,,,,,,,0-based,,1: Off; 2: Mp; 3: Forte
Strymon,Cloudburst,Knobs,Decay,,12,,0,127,,,,,,,0-based,,
Strymon,Cloudburst,Knobs,Pre-Delay,,13,,0,127,,,,,,,0-based,,
Strymon,Cloudburst,Knobs,Tone,,14,,0,127,,,,,,,centered,,
Strymon,Cloudburst,Knobs,Mod,,15,,0,127,,,,,,,0-based,,
Strymon,Cloudburst,Knobs,Mix,,16,,0,127,,,,,,,0-based,,
Strymon,Cloudburst,Knobs,Ensemble Level Adjust,,17,,0,127,,,,,,,0-based,,
Strymon,Cloudburst,Global / Control,Footswitch,,27,,0,127,,,,,,,0-based,,0: Release; 1-127: Press
Strymon,Cloudburst,Global / Control,MIDI Expression Off/On,,60,,0,127,,,,,,,0-based,,0: Off; 1-127: On
Strymon,Cloudburst,Knobs,Freeze,,97,,0,127,,,,,,,0-based,,0: Release; 1-127: Hold
Strymon,Cloudburst,Knobs,Infinite,,98,,0,127,,,,,,,0-based,,0: Release; 1-127: Hold
Strymon,Cloudburst,Global / Control,Expression Pedal,,100,,0,127,,,,,,,0-based,,0: Heel; 127: Toe
Strymon,Cloudburst,Global / Control,Bypass/Engage,,102,,0,127,,,,,,,0-based,,0: Bypass; 1-127: Engage
