manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Strymon,Dig V2,Program Select,Bank Select,,0,,0,2,,,,,,,0-based,,0: Bank 1; 1: Bank 2; 2: Bank 3
Strymon,Dig V2,Knobs,Mod,,11,,1,3,,,,,,,0-based,,1: Off; 2: Light; 3: Deep
Strymon,Dig V2,Knobs,Time,,12,,0,127,,,,,,,0-based,,
Strymon,Dig V2,Knobs,Time 2,,13,,0,127,,,,,,,0-based,,
Strymon,Dig V2,Knobs,Tone,,14,,0,127,,,,,,,centered,,
Strymon,Dig V2,Knobs,Type,,15,,1,3,,,,,,,0-based,,1: 24/96; 2: Adm; 3: 12 bit
Strymon,Dig V2,Knobs,Mix,,16,,0,127,,,,,,,0-based,,
Strymon,Dig V2,Knobs,Mix 2,,17,,0,127,,,,,,,0-based,,
Strymon,Dig V2,Knobs,Repeats,,18,,0,127,,,,,,,0-based,,
Strymon,Dig V2,Knobs,Delay 1 Subdivision,,19,,0,2,,,,,,,0-based,,0: Dotted eighth; 1: Quarter; 2: Half
Strymon,Dig V2,Knobs,Delay 2 Repeats,,20,,0,127,,,,,,,0-based,,0: Delay; 1-127: Track
Strymon,Dig V2,Global / Control,Sync/Free,,21,,0,1,,,,,,,0-based,,0: Sync; 1: Free
Strymon,Dig V2,Global / Control,Config,,22,,0,2,,,,,,,0-based,,0: Series; 1: Ping pong; 2: Parallel
Strymon,Dig V2,Knobs,Dry Level,,23,,0,127,,,,,,,0-based,,0-126: Dry level; 127: Track mix
Strymon,Dig V2,Global / Control,MIDI Clock Tempo Mult/Div,,25,,0,6,,,,,,,0-based,,0: x4; 1: x3; 2: x2; 3: x1; 4: 1/2; 5: 1/3; 6: 1/4
Strymon,Dig V2,Global / Control,MIDI Expression Off/On,,60,,0,127,,,,,,,0-based,,0: Off; 1-127: On
Strymon,Dig V2,Global / Control,MIDI Clock Off/On,,63,,0,127,,,,,,,0-based,,0: Off; 1-127: On
Strymon,Dig V2,Global / Control,Remote Tap,,93,,,,,,,,,,0-based,,
Strymon,Dig V2,Knobs,Circular Repeats,,97,,0,127,,,,,,,0-based,,0: Release; 1-127: Hold
Strymon,Dig V2,Global / Control,Expression Pedal,,100,,0,127,,,,,,,0-based,,0: Heel; 127: Toe
Strymon,Dig V2,Global / Control,Bypass/On,,102,,0,127,,,,,,,0-based,,0: Bypass; 1-127: On
