manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Strymon,Nightsky,,Bank Select,,,,0,127,,,,,0-based,,
Strymon,Nightsky,,Reverb Level,,11,,0,127,,,,,0-based,,
Strymon,Nightsky,,DRY Level,,12,,0,127,,,,,0-based,,
Strymon,Nightsky,,MOD Speed,,13,,0,127,,,,,0-based,,
Strymon,Nightsky,,MOD Target,,14,,0,127,,,,,0-based,,
Strymon,Nightsky,,MOD Depth,,15,,0,127,,,,,0-based,,
Strymon,Nightsky,,MOD Shape,,16,,0,127,,,,,0-based,,
Strymon,Nightsky,,PRE Delay,,17,,0,127,,,,,0-based,,
Strymon,Nightsky,,Decay Length,,18,,0,127,,,,,0-based,,
Strymon,Nightsky,,Decay Texture,,19,,0,127,,,,,0-based,,
Strymon,Nightsky,,Decay Size Pitch,,20,,0,127,,,,,0-based,,
Strymon,Nightsky,,Decay Quantize,,21,,0,127,,,,,0-based,,
Strymon,Nightsky,,Tone LOW CUT,,22,,0,127,,,,,0-based,,
Strymon,Nightsky,,Tone High CUT,,23,,0,127,,,,,0-based,,
Strymon,Nightsky,,Tone Filter,,24,,0,127,,,,,0-based,,
Strymon,Nightsky,,Tone Lowpass Q,,25,,0,127,,,,,0-based,,
Strymon,Nightsky,,Voice Interval,,26,,0,127,,,,,0-based,,
Strymon,Nightsky,,Voice Scale Select,,27,,0,127,,,,,0-based,,
Strymon,Nightsky,,Voice Shimmer,,28,,0,127,,,,,0-based,,
Strymon,Nightsky,,Voice Shimmer Level,,29,,0,127,,,,,0-based,,
Strymon,Nightsky,,Voice Glimmer,,30,,0,127,,,,,0-based,,
Strymon,Nightsky,,Voice Glimmer Gain,,31,,0,127,,,,,0-based,,
Strymon,Nightsky,,Voice Drive,,33,,0,127,,,,,0-based,,
Strymon,Nightsky,,Voice Drive Level,,34,,0,127,,,,,0-based,,
Strymon,Nightsky,,Freeze,,35,,0,127,,,,,0-based,,
Strymon,Nightsky,,Morph,,36,,0,127,,,,,0-based,,
Strymon,Nightsky,,Morph Speed,,37,,0,127,,,,,0-based,,
Strymon,Nightsky,,Sequence Mode,,41,,0,127,,,,,0-based,,
Strymon,Nightsky,,Sequencer Step1 OFF ON,,42,,0,127,,,,,0-based,,
Strymon,Nightsky,,Sequencer Step2 OFF ON,,43,,0,127,,,,,0-based,,
Strymon,Nightsky,,Sequencer Step3 OFF ON,,44,,0,127,,,,,0-based,,
Strymon,Nightsky,,Sequencer Step4 OFF ON,,45,,0,127,,,,,0-based,,
Strymon,Nightsky,,Sequencer Step5 OFF ON,,46,,0,127,,,,,0-based,,
Strymon,Nightsky,,Sequencer Step6 OFF ON,,47,,0,127,,,,,0-based,,
Strymon,Nightsky,,Sequencer Step7 OFF ON,,48,,0,127,,,,,0-based,,
Strymon,Nightsky,,Sequencer Step8 OFF ON,,49,,0,127,,,,,0-based,,
Strymon,Nightsky,,Sequencer Step1 Size,,50,,0,127,,,,,0-based,,
Strymon,Nightsky,,Sequencer Step2 Size,,51,,0,127,,,,,0-based,,
Strymon,Nightsky,,Sequencer Step3 Size,,52,,0,127,,,,,0-based,,
Strymon,Nightsky,,Sequencer Step4 Size,,53,,0,127,,,,,0-based,,
Strymon,Nightsky,,Sequencer Step5 Size,,54,,0,127,,,,,0-based,,
Strymon,Nightsky,,Sequencer Step6 Size,,55,,0,127,,,,,0-based,,
Strymon,Nightsky,,Sequencer Step7 Size,,56,,0,127,,,,,0-based,,
Strymon,Nightsky,,Sequencer Step8 Size,,57,,0,127,,,,,0-based,,
Strymon,Nightsky,,Sequence Glide,,58,,0,127,,,,,0-based,,
Strymon,Nightsky,,Footswitch ON,,80,,0,127,,,,,0-based,,
Strymon,Nightsky,,Footswitch Favorite,,81,,0,127,,,,,0-based,,
Strymon,Nightsky,,Footswitch Infinite,,82,,0,127,,,,,0-based,,
Strymon,Nightsky,,Persist,,83,,0,127,,,,,0-based,,
Strymon,Nightsky,,Bypass ON,,102,,0,127,,,,,0-based,,
