manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Studio Electronics,ATC-1,,OSC1 Freq,,54,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,OSC1 TRI ON,,55,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,OSC1 SAW ON,,56,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,OSC1 PUL ON,,57,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,OSC1 PUL Width,,58,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,OSC2 Freq,,59,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,OSC2 TRI ON,,60,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,OSC2 SAW ON,,61,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,OSC2 PUL ON,,62,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,OSC2 PUL Width,,63,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,LFO1 Rate,,70,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,LFO1 Depth,,71,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,LFO2 Rate,,72,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,LFO2 Depth,,73,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,ENV3 Amnt,,84,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,ENV3 Attack,,85,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,ENV3 Decay,,86,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,ENV3 Sustain,,87,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,ENV3 Release,,88,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,MIX1,,102,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,MIX2,,103,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,MIX Noise,,104,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,VCF Freq,,105,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,VCF RES,,106,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,ENV1 Amnt,,107,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,ENV1 Attack,,108,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,ENV1 Decay,,109,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,ENV1 Sustain,,110,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,ENV1 Release,,111,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,ENV2 Attack,,114,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,ENV2 Decay,,115,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,ENV2 Sustain,,116,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,ENV2 Release,,117,,0,127,,,,,0-based,,
Studio Electronics,ATC-1,,303 Accent Macro,,119,,0,127,,,,,0-based,,
