manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Studiologic,Sledge,Mod wheel,Modulation wheel,,1,,0,127,,,,,0-based,,
Studiologic,Sledge,General,Glide rate,,5,,0,127,,,,,0-based,,
Studiologic,Sledge,General,Master volume,,7,,0,127,,,,,0-based,,
Studiologic,Sledge,General,Expression,,11,,0,127,,,,,0-based,,
Studiologic,Sledge,LFO,LFO 1 shape,,15,,0,127,,,,,0-based,,
Studiologic,Sledge,LFO,LFO 1 speed,,16,,0,127,,,,,0-based,,
Studiologic,Sledge,LFO,LFO 1 destination,,17,,0,127,,,,,0-based,,
Studiologic,Sledge,LFO,LFO 1 depth,,18,,0,127,,,,,0-based,,
Studiologic,Sledge,LFO,LFO 2 shape,,19,,0,127,,,,,0-based,,
Studiologic,Sledge,LFO,LFO 2 speed,,20,,0,127,,,,,0-based,,
Studiologic,Sledge,LFO,LFO 2 destination,,21,,0,127,,,,,0-based,,
Studiologic,Sledge,LFO,LFO 2 depth,,22,,0,127,,,,,0-based,,
Studiologic,Sledge,Mod wheel,Mod wheel shape,,23,,0,127,,,,,0-based,,
Studiologic,Sledge,Mod wheel,Mod wheel speed,,24,,0,127,,,,,0-based,,
Studiologic,Sledge,Mod wheel,Mod wheel destination,,25,,0,127,,,,,0-based,,
Studiologic,Sledge,Mod wheel,Mod wheel depth,,26,,0,127,,,,,0-based,,
Studiologic,Sledge,OSC 1,OSC 1 octave,,27,,0,127,,,,,0-based,,
Studiologic,Sledge,OSC 1,OSC 1 semitone,,28,,0,127,,,,,0-based,,
Studiologic,Sledge,OSC 1,OSC 1 waveform,,31,,0,127,,,,,0-based,,
Studiologic,Sledge,OSC 1,OSC 1 wave/PW,,33,,0,127,,,,,0-based,,
Studiologic,Sledge,OSC 1,OSC 1 wavetable,,34,,0,127,,,,,0-based,,
Studiologic,Sledge,OSC 2,OSC 2 octave,,35,,0,127,,,,,0-based,,
Studiologic,Sledge,OSC 2,OSC 2 semitone,,36,,0,127,,,,,0-based,,
Studiologic,Sledge,OSC 2,OSC 2 detune,,37,,0,127,,,,,0-based,,
Studiologic,Sledge,OSC 2,OSC 2 waveform,,39,,0,127,,,,,0-based,,
Studiologic,Sledge,OSC 2,OSC 2 FM/PW,,40,,0,127,,,,,0-based,,
Studiologic,Sledge,OSC 3,OSC 3 octave,,42,,0,127,,,,,0-based,,
Studiologic,Sledge,OSC 3,OSC 3 semitone,,43,,0,127,,,,,0-based,,
Studiologic,Sledge,OSC 3,OSC 3 detune,,44,,0,127,,,,,0-based,,
Studiologic,Sledge,OSC 3,OSC 3 waveform,,46,,0,127,,,,,0-based,,
Studiologic,Sledge,OSC 3,OSC 3 FM / PW,,47,,0,127,,,,,0-based,,
Studiologic,Sledge,OSC 2,OSC 2 sync to OSC 3,,49,,0,127,,,,,0-based,,
Studiologic,Sledge,Mix,OSC 1 volume,,52,,0,127,,,,,0-based,,
Studiologic,Sledge,Mix,OSC 1 on/off,,53,,0,127,,,,,0-based,,
Studiologic,Sledge,Mix,OSC 2 volume,,56,,0,127,,,,,0-based,,
Studiologic,Sledge,Mix,OSC 2 on/off,,57,,0,127,,,,,0-based,,
Studiologic,Sledge,Mix,OSC 3 volume,,58,,0,127,,,,,0-based,,
Studiologic,Sledge,Mix,OSC 3 on/off,,59,,0,127,,,,,0-based,,
Studiologic,Sledge,Mix,Noise volume,,60,,0,127,,,,,0-based,,
Studiologic,Sledge,Mix,Noise on/off,,61,,0,127,,,,,0-based,,
Studiologic,Sledge,Mix,Noise color,,62,,0,127,,,,,0-based,,
Studiologic,Sledge,General,Sustain,,64,,0,127,,,,,0-based,,
Studiologic,Sledge,General,Glide on/off,,65,,0,127,,,,,0-based,,
Studiologic,Sledge,Filter,Filter type/slope,,68,,0,127,,,,,0-based,,
Studiologic,Sledge,Filter,Filter cutoff,,69,,0,127,,,,,0-based,,
Studiologic,Sledge,Filter,Filter resonance,,70,,0,127,,,,,0-based,,
Studiologic,Sledge,Filter,Filter drive,,71,,0,127,,,,,0-based,,
Studiologic,Sledge,Filter,Filter keytrack,,72,,0,127,,,,,0-based,,
Studiologic,Sledge,Filter,Filter amount,,73,,0,127,,,,,0-based,,
Studiologic,Sledge,Effects,Effect 1 type,,79,,0,127,,,,,0-based,,
Studiologic,Sledge,Effects,Effect 1 rate,,80,,0,127,,,,,0-based,,
Studiologic,Sledge,Effects,Effect 1 depth,,81,,0,127,,,,,0-based,,
Studiologic,Sledge,Effects,Effect 2 time,,86,,0,127,,,,,0-based,,
Studiologic,Sledge,Effects,Effect 2 level,,87,,0,127,,,,,0-based,,
Studiologic,Sledge,Effects,Effect 2 type,,88,,0,127,,,,,0-based,,
Studiologic,Sledge,Amplifier,Amplifier velocity,,91,,0,127,,,,,0-based,,
Studiologic,Sledge,Effects,Effect 1 on/off,,93,,0,127,,,,,0-based,,
Studiologic,Sledge,Filter,Filter attack,,95,,0,127,,,,,0-based,,
Studiologic,Sledge,Filter,Filter decay,,96,,0,127,,,,,0-based,,
