manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Suonobuono,Polyvera,Performance,Play mode,,3,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,Performance,Unison detune,,,,,,,0,1,0,127,,0-based,,
Suonobuono,Polyvera,Performance,Transpose octave,,,,,,,0,2,0,127,,centered,,
Suonobuono,Polyvera,Performance,Transpose semitones,,,,,,,0,3,0,127,,centered,,
Suonobuono,Polyvera,Performance,Portamento time,,5,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,MIDI,Mod wheel,,1,,0,127,,,,,,,0-based,Polarity configurable in MIDI settings,
Suonobuono,Polyvera,MIDI,MIDI modulator 1,,9,,0,127,,,,,,,0-based,Polarity configurable in MIDI settings,
Suonobuono,Polyvera,MIDI,MIDI modulator 2,,114,,0,127,,,,,,,0-based,Polarity configurable in MIDI settings,
Suonobuono,Polyvera,MIDI,MIDI modulator 3,,115,,0,127,,,,,,,0-based,Polarity configurable in MIDI settings,
Suonobuono,Polyvera,MIDI,MIDI modulator 4,,89,,0,127,,,,,,,0-based,Polarity configurable in MIDI settings,
Suonobuono,Polyvera,Oscillator 1,Oscillator 1 type,,15,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,Oscillator 1,Oscillator 1 wavetable index,,12,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,Oscillator 1,Oscillator 1 style,,,,,,,0,5,0,127,,0-based,,
Suonobuono,Polyvera,Oscillator 1,Oscillator 1 bank,,,,,,,0,6,0,127,,0-based,,
Suonobuono,Polyvera,Oscillator 1,Oscillator 1 coarse frequency,,97,,0,127,,,,,,,centered,,
Suonobuono,Polyvera,Oscillator 1,Oscillator 1 fine frequency,,8,,0,127,,,,,,,centered,,
Suonobuono,Polyvera,Oscillator 1,Oscillator 1 shape,,13,46,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,Oscillator 2,Oscillator 2 type,,20,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,Oscillator 2,Oscillator 2 wavetable/sample index,,21,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,Oscillator 2,Oscillator 2 wavetable style,,,,,,,0,7,0,127,,0-based,,
Suonobuono,Polyvera,Oscillator 2,Oscillator 2 sampler style,,,,,,,0,114,0,127,,0-based,,
Suonobuono,Polyvera,Oscillator 2,Oscillator 2 bank,,,,,,,0,8,0,127,,0-based,,
Suonobuono,Polyvera,Oscillator 2,Oscillator 2 coarse frequency,,18,,0,127,,,,,,,centered,,
Suonobuono,Polyvera,Oscillator 2,Oscillator 2 fine frequency,,17,,0,127,,,,,,,centered,,
Suonobuono,Polyvera,Oscillator 2,Oscillator 2 shape,,22,55,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,Mixer,Oscillator 1/2 mix,,65,,0,127,,,,,,,centered,,
Suonobuono,Polyvera,Mixer,Sub-oscillator level,,66,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,Mixer,Ring modulator,"Off, Half, Full",67,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,Mixer,Oscillator 1 sync,,,,,,,0,9,0,127,,0-based,,0-63: Off; 64-127: On
Suonobuono,Polyvera,Mixer,Oscillator 1 frequency modulation level,,68,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,Mixer,Noise mix,,69,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,Mixer,Noise color,,70,,0,127,,,,,,,centered,,0~127: Low-pass filtered to high-pass filtered
Suonobuono,Polyvera,Sampler,Sample loop type,,,,,,,0,10,0,127,,0-based,,
Suonobuono,Polyvera,Sampler,Sample root key,,,,,,,0,11,0,127,,0-based,,
Suonobuono,Polyvera,Sampler,Sample play direction,,,,,,,0,12,0,127,,0-based,,
Suonobuono,Polyvera,Sampler,Sample shape control,,,,,,,0,113,0,127,,0-based,,
Suonobuono,Polyvera,Filter,Filter frequency,,29,61,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,Filter,Filter resonance,,96,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,Filter,Filter drive,,87,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,Filter,Filter frequency modulation,,88,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,Filter,Filter type,,,,,,,0,18,0,127,,0-based,,
Suonobuono,Polyvera,Filter,Filter tracking,,90,,0,127,,,,,,,centered,,
Suonobuono,Polyvera,Filter envelope,Filter envelope amount,,73,,0,127,,,,,,,centered,,
Suonobuono,Polyvera,Filter envelope,Filter envelope attack,,75,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,Filter envelope,Filter envelope decay,,76,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,Filter envelope,Filter envelope sustain,,77,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,Filter envelope,Filter envelope release,,78,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,Amplifier,Amplifier level,,86,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,Amplifier,Amplifier envelope attack,,79,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,Amplifier,Amplifier envelope decay,,80,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,Amplifier,Amplifier envelope sustain,,81,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,Amplifier,Amplifier envelope release,,82,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,Mod envelope,Mod envelope attack,,83,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,Mod envelope,Mod envelope decay/release,,84,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,Mod envelope,Mod envelope sustain,,85,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,Mod envelope,Mod envelope mode,,,,,,,0,16,0,127,,0-based,,
Suonobuono,Polyvera,LFO 1,LFO 1 waveform,,91,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,LFO 1,LFO 1 frequency,,92,,0,127,,,,,,,0-based,Active when LFO 1 sync is disabled.,
Suonobuono,Polyvera,LFO 1,LFO 1 frequency (synced),,93,,0,127,,,,,,,0-based,Active when LFO 1 sync is enabled.,
Suonobuono,Polyvera,LFO 1,LFO 1 level,,94,,0,127,,,,,,,centered,,
Suonobuono,Polyvera,LFO 1,LFO 1 key retrigger,,,,,,,0,19,0,127,,0-based,,0-63: Off; 64-127: On
Suonobuono,Polyvera,LFO 1,LFO 1 sync,,,,,,,0,20,0,127,,0-based,,0-63: Off; 64-127: On
Suonobuono,Polyvera,LFO 1,LFO 1 fade in time,,95,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,LFO 2,LFO 2 waveform,,59,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,LFO 2,LFO 2 frequency,,60,,0,127,,,,,,,0-based,Active when LFO 2 sync is disabled.,
Suonobuono,Polyvera,LFO 2,LFO 2 frequency (synced),,25,,0,127,,,,,,,0-based,Active when LFO 2 sync is enabled.,
Suonobuono,Polyvera,LFO 2,LFO 2 level,,62,,0,127,,,,,,,centered,,
Suonobuono,Polyvera,LFO 2,LFO 2 key retrigger,,,,,,,0,21,0,127,,0-based,,0-63: Off; 64-127: On
Suonobuono,Polyvera,LFO 2,LFO 2 sync,,,,,,,0,22,0,127,,0-based,,0-63: Off; 64-127: On
Suonobuono,Polyvera,LFO 2,LFO 2 fade in time,,63,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,LFO 3,LFO 3 waveform,,26,,0,127,,,,,,,0-based,,
Suonobuono,Polyvera,LFO 3,LFO 3 frequency,,102,,0,127,,,,,,,0-based,Active when LFO 3 sync is disabled.,
Suonobuono,Polyvera,LFO 3,LFO 3 frequency (synced),,103,,0,127,,,,,,,0-based,Active when LFO 3 sync is enabled.,
