manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
TC Electronic,D-Two,,IN LVL,,16,,0,127,,,,,0-based,,
TC Electronic,D-Two,,DIG IN LVL,,17,,0,127,,,,,0-based,,
TC Electronic,D-Two,,OUT LVL,,18,,0,127,,,,,0-based,,
TC Electronic,D-Two,,MIX LVL,,19,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Bypass,,20,,0,127,,,,,0-based,,
TC Electronic,D-Two,,REV Offst,,21,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Spatial,,22,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Filter,,23,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Chorus,,24,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Reverse,,25,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Dynamic,,26,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Ping Pong,,27,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Rhythm,,28,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Delay,,48,,0,127,,,,,0-based,,
TC Electronic,D-Two,,FB LVL,,50,,0,127,,,,,0-based,,
TC Electronic,D-Two,,FB Repeats,,51,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Shuffle,,52,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Quantize,,53,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Tracktap,,54,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Rhytm DEC,,55,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Subdiv,,56,,0,127,,,,,0-based,,
TC Electronic,D-Two,,FX LVL,,57,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Spatl Offst,,58,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Spatl Phserev,,59,,0,127,,,,,0-based,,
TC Electronic,D-Two,,FB Hicut,,60,,0,127,,,,,0-based,,
TC Electronic,D-Two,,FB Locut,,61,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Hicut,,62,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Locut,,63,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Chrs SPD,,64,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Chrs Dpth,,65,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Chrs AMT,,66,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Chrs Fdbk,,67,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Chrs Time,,68,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Chrs Gold Rtio,,69,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Chrs Phse REV,,70,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Chrs LFO Curv,,71,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Chrs LFO Phse,,72,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Pingstyle,,73,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Threshold,,74,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Release,,75,,0,127,,,,,0-based,,
TC Electronic,D-Two,,Damping,,76,,0,127,,,,,0-based,,
TC Electronic,D-Two,,REV Thrshld,,77,,0,127,,,,,0-based,,
TC Electronic,D-Two,,REV Style,,78,,0,127,,,,,0-based,,
