manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
TC Helicon,VoiceLive Touch 2,Effect Block On/Off,Harmony On/Off,Harmony On/Off,110,,0,127,,,,,0-based,,0-63: Off; 64-127: On
TC Helicon,VoiceLive Touch 2,Effect Block On/Off,Double On/Off,Double On/Off,111,,0,127,,,,,0-based,,0-63: Off; 64-127: On
TC Helicon,VoiceLive Touch 2,Effect Block On/Off,Reverb On/Off,Reverb On/Off,112,,0,127,,,,,0-based,,0-63: Off; 64-127: On
TC Helicon,VoiceLive Touch 2,Effect Block On/Off,MicroMod On/Off,MicroMod On/Off,116,,0,127,,,,,0-based,,0-63: Off; 64-127: On
TC Helicon,VoiceLive Touch 2,Effect Block On/Off,Delay On/Off,Delay On/Off,117,,0,127,,,,,0-based,,0-63: Off; 64-127: On
TC Helicon,VoiceLive Touch 2,Effect Block On/Off,Rhythm On/Off,Rhythm On/Off,102,,0,127,,,,,0-based,,0-63: Off; 64-127: On
TC Helicon,VoiceLive Touch 2,Effect Block On/Off,Transducer On/Off,Transducer On/Off,103,,0,127,,,,,0-based,,0-63: Off; 64-127: On
TC Helicon,VoiceLive Touch 2,Effect Block On/Off,Choir On/Off,Choir On/Off,113,,0,127,,,,,0-based,,0-63: Off; 64-127: On
TC Helicon,VoiceLive Touch 2,Effect Block On/Off,Hardtune On/Off,Hardtune On/Off,108,,0,127,,,,,0-based,,0-63: Off; 64-127: On
TC Helicon,VoiceLive Touch 2,Block Edits,Mod Style,Mod style index,50,,0,23,,,,,0-based,,0~23: Mod style
TC Helicon,VoiceLive Touch 2,Block Edits,Mod Level,Mod block level,90,,0,127,,,,,0-based,,0~127: Level
TC Helicon,VoiceLive Touch 2,Block Edits,Mod Speed,Mod speed,18,,0,127,,,,,0-based,,0~127: Speed
TC Helicon,VoiceLive Touch 2,Block Edits,Mod Depth,Mod depth,93,,0,127,,,,,0-based,,0~127: Depth
TC Helicon,VoiceLive Touch 2,Block Edits,Delay Style,Delay style index,51,,0,18,,,,,0-based,,0~18: Delay style
TC Helicon,VoiceLive Touch 2,Block Edits,Delay Level,Delay block level,62,,0,127,,,,,0-based,,0~127: Level
TC Helicon,VoiceLive Touch 2,Block Edits,Delay Feedback,Delay feedback amount,20,,0,127,,,,,0-based,Manual lists 0-128; MIDI CC max is 127.,0~127: Feedback
TC Helicon,VoiceLive Touch 2,Block Edits,Delay Filter,Delay filter style/index,28,,0,12,,,,,0-based,,0~12: Filter
TC Helicon,VoiceLive Touch 2,Block Edits,Reverb Style,Reverb style index,52,,0,27,,,,,0-based,,0~27: Reverb style
TC Helicon,VoiceLive Touch 2,Block Edits,Reverb Level,Reverb level,91,,0,127,,,,,0-based,,0~127: Level
TC Helicon,VoiceLive Touch 2,Block Edits,Reverb Decay,Reverb decay,63,,0,127,,,,,0-based,,0~127: Decay
TC Helicon,VoiceLive Touch 2,Block Edits,Doubling Style,Doubling style index,53,,0,11,,,,,0-based,,0~11: Doubling style
TC Helicon,VoiceLive Touch 2,Block Edits,Doubling Level,Doubling level,15,,0,127,,,,,0-based,,0~127: Level
TC Helicon,VoiceLive Touch 2,Block Edits,Transducer Style,Transducer style index,55,,0,8,,,,,0-based,,0~8: Transducer style
TC Helicon,VoiceLive Touch 2,Block Edits,Transducer Gain,Transducer gain,105,,0,127,,,,,0-based,,0~127: Gain
TC Helicon,VoiceLive Touch 2,Block Edits,Transducer Low Cut,Transducer low cut,41,,0,127,,,,,0-based,,0~127: Low cut
TC Helicon,VoiceLive Touch 2,Block Edits,Transducer High Cut,Transducer high cut,57,,0,127,,,,,0-based,,0~127: High cut
TC Helicon,VoiceLive Touch 2,Block Edits,Choir Style,Choir style index,118,,0,14,,,,,0-based,,0~14: Choir style
TC Helicon,VoiceLive Touch 2,Block Edits,Choir Level,Choir level,22,,0,127,,,,,0-based,,0~127: Level
TC Helicon,VoiceLive Touch 2,Block Edits,Hardtune Style,Hardtune style index,24,,0,6,,,,,0-based,,0~6: Style
TC Helicon,VoiceLive Touch 2,Block Edits,Hardtune Shift,Hardtune shift,60,,0,127,,,,,0-based,,0~127: Shift
TC Helicon,VoiceLive Touch 2,Block Edits,Rhythm Style,Rhythm style index,115,,0,14,,,,,0-based,,0~14: Rhythm style
