manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Teenage Engineering,OP-1 field,MIDI LFO,Parameter 1,midi lfo parameter 1,1,,0,127,,,,,,,0-based,Any channel,0~127: MIDI LFO 1 amount
Teenage Engineering,OP-1 field,MIDI LFO,Parameter 2,midi lfo parameter 2,2,,0,127,,,,,,,0-based,Any channel,0~127: MIDI LFO 2 amount
Teenage Engineering,OP-1 field,MIDI LFO,Parameter 3,midi lfo parameter 3,3,,0,127,,,,,,,0-based,Any channel,0~127: MIDI LFO 3 amount
Teenage Engineering,OP-1 field,MIDI LFO,Parameter 4,midi lfo parameter 4,4,,0,127,,,,,,,0-based,Any channel,0~127: MIDI LFO 4 amount
Teenage Engineering,OP-1 field,Mixer,Volume,mixer volume,7,,0,127,,,,,,,0-based,MIDI channels 1-4 map to mixer channels 1-4,0~127: Volume amount
Teenage Engineering,OP-1 field,Mixer,Mute,mixer mute,9,,0,127,,,,,,,0-based,MIDI channels 1-4 map to mixer channels 1-4,0-63: Mute off; 64-127: Mute on
Teenage Engineering,OP-1 field,Mixer,Pan,mixer pan,10,,0,127,64,,,,,,centered,MIDI channels 1-4 map to mixer channels 1-4,0~127: Pan amount
Teenage Engineering,OP-1 field,Synth,Parameter 1,synth: parameter 1,46,,0,127,,,,,,,0-based,Any channel,0~127: Synth parameter 1 amount
Teenage Engineering,OP-1 field,Synth,Parameter 2,synth: parameter 2,47,,0,127,,,,,,,0-based,Any channel,0~127: Synth parameter 2 amount
Teenage Engineering,OP-1 field,Synth,Parameter 3,synth: parameter 3,48,,0,127,,,,,,,0-based,Any channel,0~127: Synth parameter 3 amount
Teenage Engineering,OP-1 field,Synth,Parameter 4,synth: parameter 4,49,,0,127,,,,,,,0-based,Any channel,0~127: Synth parameter 4 amount
Teenage Engineering,OP-1 field,Drum,Active key pitch,drum: active key pitch,46,,0,127,,,,,,,0-based,Any channel,0~127: drum active key pitch amount
Teenage Engineering,OP-1 field,Drum,Active key loop in,drum: active key loop in,47,,0,127,,,,,,,0-based,Any channel,0~127: drum active key loop in position
Teenage Engineering,OP-1 field,Drum,Active key loop out,drum: active key loop out,48,,0,127,,,,,,,0-based,Any channel,0~127: drum active key loop out position
Teenage Engineering,OP-1 field,Drum,Active key play mode,drum: active key play mode,49,,0,127,,,,,,,0-based,Any channel,0~127: drum active key play mode select
Teenage Engineering,OP-1 field,Synth,Envelope attack,synth envelope: attack,50,,0,127,,,,,,,0-based,Any channel,0~127: synth envelope attack duration
Teenage Engineering,OP-1 field,Synth,Envelope decay,synth envelope: decay,51,,0,127,,,,,,,0-based,Any channel,0~127: synth envelope decay duration
Teenage Engineering,OP-1 field,Synth,Envelope sustain,synth envelope: sustain,52,,0,127,,,,,,,0-based,Any channel,0~127: synth envelope sustain volume
Teenage Engineering,OP-1 field,Synth,Envelope release,synth envelope: release,53,,0,127,,,,,,,0-based,Any channel,0~127: synth envelope release duration
Teenage Engineering,OP-1 field,Drum,Envelope attack,drum envelope: attack,50,,0,127,,,,,,,0-based,Any channel,0~127: drum envelope attack duration
Teenage Engineering,OP-1 field,Drum,Envelope gain,drum envelope: gain,51,,0,127,,,,,,,0-based,Any channel,0~127: drum envelope gain amount
Teenage Engineering,OP-1 field,Drum,Envelope release,drum envelope: release,52,,0,127,,,,,,,0-based,Any channel,0~127: drum envelope release duration
Teenage Engineering,OP-1 field,Drum,Envelope smooth,drum envelope: smooth,53,,0,127,,,,,,,0-based,Any channel,0~127: drum envelope smooth amount
Teenage Engineering,OP-1 field,Patch,FX parameter 1,patch fx parameter 1,54,,0,127,,,,,,,0-based,Any channel,0~127: patch fx parameter 1 amount
Teenage Engineering,OP-1 field,Patch,FX parameter 2,patch fx parameter 2,55,,0,127,,,,,,,0-based,Any channel,0~127: patch fx parameter 2 amount
Teenage Engineering,OP-1 field,Patch,FX parameter 3,patch fx parameter 3,56,,0,127,,,,,,,0-based,Any channel,0~127: patch fx parameter 3 amount
Teenage Engineering,OP-1 field,Patch,FX parameter 4,patch fx parameter 4,57,,0,127,,,,,,,0-based,Any channel,0~127: patch fx parameter 4 amount
Teenage Engineering,OP-1 field,Patch,LFO parameter 1,patch lfo parameter 1,58,,0,127,,,,,,,0-based,Any channel,0~127: patch lfo parameter 1 amount
Teenage Engineering,OP-1 field,Patch,LFO parameter 2,patch lfo parameter 2,59,,0,127,,,,,,,0-based,Any channel,0~127: patch lfo parameter 2 amount
Teenage Engineering,OP-1 field,Patch,LFO parameter 3,patch lfo parameter 3,60,,0,127,,,,,,,0-based,Any channel,0~127: patch lfo parameter 3 amount
Teenage Engineering,OP-1 field,Patch,LFO parameter 4,patch lfo parameter 4,61,,0,127,,,,,,,0-based,Any channel,0~127: patch lfo parameter 4 amount
Teenage Engineering,OP-1 field,Patch,Randomize patch,randomize active patch,62,,0,127,,,,,,,0-based,Any channel,0-63: Off; 64-127: Randomize active patch
Teenage Engineering,OP-1 field,Patch,Reset patch,reset active patch,63,,0,127,,,,,,,0-based,Any channel,0-63: Off; 64-127: Reset active patch
Teenage Engineering,OP-1 field,Global,Sustain pedal,sustain pedal,64,,0,127,,,,,,,0-based,Any channel,0-63: Sustain up; 64-127: Sustain down
Teenage Engineering,OP-1 field,Master,FX parameter 1,master fx parameter 1,70,,0,127,,,,,,,0-based,Any channel,0~127: master fx parameter 1
Teenage Engineering,OP-1 field,Master,FX parameter 2,master fx parameter 2,71,,0,127,,,,,,,0-based,Any channel,0~127: master fx parameter 2
Teenage Engineering,OP-1 field,Master,FX parameter 3,master fx parameter 3,72,,0,127,,,,,,,0-based,Any channel,0~127: master fx parameter 3
Teenage Engineering,OP-1 field,Master,FX parameter 4,master fx parameter 4,73,,0,127,,,,,,,0-based,Any channel,0~127: master fx parameter 4
