manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Teenage Engineering,OP-XY,Track,Track volume,,7,,0,127,,,,,,,0-based,Channels 1-16,
Teenage Engineering,OP-XY,Track,Track mute,,9,,0,127,,,,,,,0-based,Channels 1-16,
Teenage Engineering,OP-XY,Track,Track pan,,10,,0,127,,,,,,,Centered,Channels 1-16,
Teenage Engineering,OP-XY,Track,Track parameters,,46,,0,127,,,,,,,0-based,Channels 1-16,
Teenage Engineering,OP-XY,Global,Tempo,,80,,0,127,,,,,,,0-based,Any channel,
Teenage Engineering,OP-XY,Global,Groove,,81,,0,127,,,,,,,0-based,Any channel,
Teenage Engineering,OP-XY,Global,Scene (delayed switch),,82,,0,127,,,,,,,0-based,Any channel,
Teenage Engineering,OP-XY,Global,Previous scene,,83,,0,127,,,,,,,0-based,Any channel,
Teenage Engineering,OP-XY,Global,Next scene,,84,,0,127,,,,,,,0-based,Any channel,
Teenage Engineering,OP-XY,Global,Scene,,85,,0,127,,,,,,,0-based,Any channel,
Teenage Engineering,OP-XY,Global,Project,,86,,0,127,,,,,,,0-based,Any channel,
Teenage Engineering,OP-XY,Global,EQ,,90,,0,127,,,,,,,0-based,Channels 1-4,
