manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Torso Electronics,T1,Top row encoders,Encoder 1,Top-left encoder,70,,0,127,,,,,,,0-based,,
Torso Electronics,T1,Top row encoders,Encoder 2,,71,,0,127,,,,,,,0-based,,
Torso Electronics,T1,Top row encoders,Encoder 3,,72,,0,127,,,,,,,0-based,,
Torso Electronics,T1,Top row encoders,Encoder 4,,73,,0,127,,,,,,,0-based,,
Torso Electronics,T1,Top row encoders,Encoder 5,,74,,0,127,,,,,,,0-based,,
Torso Electronics,T1,Top row encoders,Encoder 6,,75,,0,127,,,,,,,0-based,,
Torso Electronics,T1,Top row encoders,Encoder 7,Top-right encoder,76,,0,127,,,,,,,0-based,,
Torso Electronics,T1,Bottom row encoders,Encoder 8,Bottom-left encoder,77,,0,127,,,,,,,0-based,,
Torso Electronics,T1,Bottom row encoders,Encoder 9,,78,,0,127,,,,,,,0-based,,
Torso Electronics,T1,Bottom row encoders,Encoder 10,,79,,0,127,,,,,,,0-based,,
Torso Electronics,T1,Bottom row encoders,Encoder 11,,80,,0,127,,,,,,,0-based,,
Torso Electronics,T1,Bottom row encoders,Encoder 12,,81,,0,127,,,,,,,0-based,,
Torso Electronics,T1,Bottom row encoders,Encoder 13,,82,,0,127,,,,,,,0-based,,
Torso Electronics,T1,Bottom row encoders,Encoder 14,Bottom-right encoder,83,,0,127,,,,,,,0-based,,
