manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
UNO,Synth Pro X,,Glide Type,,3,,0,127,,,,,0-based,,
UNO,Synth Pro X,,Glide Time,,5,,0,127,,,,,0-based,,
UNO,Synth Pro X,,VCA Level,,7,,0,127,,,,,0-based,,
UNO,Synth Pro X,,Swing Amount,,9,,0,127,,,,,0-based,,
UNO,Synth Pro X,,OSC1 Wave,,12,,0,127,,,,,0-based,,
UNO,Synth Pro X,,OSC2 Wave,,13,,0,127,,,,,0-based,,
UNO,Synth Pro X,,OSC3 Wave,,14,,0,127,,,,,0-based,,
UNO,Synth Pro X,,OSC1 Tune,,15,,0,127,,,,,0-based,,
UNO,Synth Pro X,,OSC2 Tune,,16,,0,127,,,,,0-based,,
UNO,Synth Pro X,,OSC3 Tune,,17,,0,127,,,,,0-based,,
UNO,Synth Pro X,,OSC1 Level,,18,,0,127,,,,,0-based,,
UNO,Synth Pro X,,OSC2 Level,,19,,0,127,,,,,0-based,,
UNO,Synth Pro X,,OSC3 Level,,20,,0,127,,,,,0-based,,
UNO,Synth Pro X,,Noise Level,,21,,0,127,,,,,0-based,,
UNO,Synth Pro X,,OSC2 Sync,,22,,0,127,,,,,0-based,,
UNO,Synth Pro X,,OSC3 Sync,,23,,0,127,,,,,0-based,,
UNO,Synth Pro X,,OSC Ring,,24,,0,127,,,,,0-based,,
UNO,Synth Pro X,,OSC2 FM,,25,,0,127,,,,,0-based,,
UNO,Synth Pro X,,OSC3 FM,,26,,0,127,,,,,0-based,,
UNO,Synth Pro X,,FLT SRS PRL,,27,,0,127,,,,,0-based,,
UNO,Synth Pro X,,FLT1 Cutoff,,28,,0,127,,,,,0-based,,
UNO,Synth Pro X,,FLT1 RES,,29,,0,127,,,,,0-based,,
UNO,Synth Pro X,,FLT1 Mode,,30,,0,127,,,,,0-based,,
UNO,Synth Pro X,,FLT1 ENV AMT,,31,,0,127,,,,,0-based,,
UNO,Synth Pro X,,FLT1 Keytrk AMT,,32,,0,127,,,,,0-based,,
UNO,Synth Pro X,,FLT1 Phase0180,,34,,0,127,,,,,0-based,,
UNO,Synth Pro X,,FLT2 Cutoff,,35,,0,127,,,,,0-based,,
UNO,Synth Pro X,,FLT2 RES,,36,,0,127,,,,,0-based,,
UNO,Synth Pro X,,FLT2 Mode,,37,,0,127,,,,,0-based,,
UNO,Synth Pro X,,FLT2 ENV AMT,,38,,0,127,,,,,0-based,,
UNO,Synth Pro X,,FLT2 Keytrk AMT,,39,,0,127,,,,,0-based,,
UNO,Synth Pro X,,VCA AMT,,40,,0,127,,,,,0-based,,
UNO,Synth Pro X,,FLT Link,,41,,0,127,,,,,0-based,,
UNO,Synth Pro X,,ENV3 Loop,,42,,0,127,,,,,0-based,,
UNO,Synth Pro X,,ENV3 Retrig,,43,,0,127,,,,,0-based,,
UNO,Synth Pro X,,LFO1 Wave,,44,,0,127,,,,,0-based,,
UNO,Synth Pro X,,LFO1 Rate,,45,,0,127,,,,,0-based,,
UNO,Synth Pro X,,LFO1 Fade,,46,,0,127,,,,,0-based,,
UNO,Synth Pro X,,LFO1 Sync,,47,,0,127,,,,,0-based,,
UNO,Synth Pro X,,LFO2 Wave,,48,,0,127,,,,,0-based,,
UNO,Synth Pro X,,LFO2 Rate,,49,,0,127,,,,,0-based,,
UNO,Synth Pro X,,LFO2 Fade,,50,,0,127,,,,,0-based,,
UNO,Synth Pro X,,LFO2 Sync,,51,,0,127,,,,,0-based,,
UNO,Synth Pro X,,Fltenv Attack,,53,,0,127,,,,,0-based,,
UNO,Synth Pro X,,Fltenv Decay,,54,,0,127,,,,,0-based,,
