manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Universal Audio,Anthem,Global,Legato,,68,,0,127,,,,,,,0-based,,
Universal Audio,Anthem,Global,Glide rate,,5,,0,127,,,,,,,0-based,,
Universal Audio,Anthem,Global,Mod wheel,,1,,0,127,,,,,,,0-based,,
Universal Audio,Anthem,Oscillators,Oscillator 1 shape,,26,,0,127,,,,,,,0-based,,
Universal Audio,Anthem,Oscillators,Oscillator 1 sub level,,70,,0,127,,,,,,,0-based,,
Universal Audio,Anthem,Oscillators,Oscillator 2 shape,,27,,0,127,,,,,,,0-based,,
Universal Audio,Anthem,Oscillators,Noise color,,72,,0,127,,,,,,,0-based,,
Universal Audio,Anthem,Mixer,Oscillator 1 volume,,86,,0,127,,,,,,,0-based,,
Universal Audio,Anthem,Mixer,Oscillator 2 volume,,86,,0,127,,,,,,,0-based,"Listed as CC 86 in the manual, which is a duplicate of Oscillator 1 volume and likely a typo.",
Universal Audio,Anthem,Mixer,Noise volume,,89,,0,127,,,,,,,0-based,,
Universal Audio,Anthem,Filter and filter envelope,Filter cutoff frequency,,74,,0,127,,,,,,,0-based,,
Universal Audio,Anthem,Filter and filter envelope,Filter resonance,,71,,0,127,,,,,,,0-based,,
Universal Audio,Anthem,Filter and filter envelope,Filter envelope amount,,25,,0,127,,,,,,,0-based,,
Universal Audio,Anthem,Filter and filter envelope,Filter envelope attack,,22,,0,127,,,,,,,0-based,,
Universal Audio,Anthem,Filter and filter envelope,Filter envelope decay,,23,,0,127,,,,,,,0-based,,
Universal Audio,Anthem,Filter and filter envelope,Filter envelope release,,24,,0,127,,,,,,,0-based,,
Universal Audio,Anthem,Amplifier envelope,Amp envelope attack,,73,,0,127,,,,,,,0-based,,
Universal Audio,Anthem,Amplifier envelope,Amp envelope decay,,75,,0,127,,,,,,,0-based,,
Universal Audio,Anthem,Amplifier envelope,Amp envelope sustain,,14,,0,127,,,,,,,0-based,,
Universal Audio,Anthem,Amplifier envelope,Amp envelope release,,72,,0,127,,,,,,,0-based,,
Universal Audio,Anthem,LFO,LFO rate,,76,,0,127,,,,,,,0-based,,
Universal Audio,Anthem,Effects,Mod FX enable,,91,,0,127,,,,,,,0-based,,
Universal Audio,Anthem,Effects,Mod FX param 1,,12,,0,127,,,,,,,0-based,,
Universal Audio,Anthem,Effects,Mod FX param 2,,13,,0,127,,,,,,,0-based,,
Universal Audio,Anthem,Effects,Space FX amount,,92,,0,127,,,,,,,0-based,,
