manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Universal Audio,Golden Reverberator,General,FS Left,,12,,0,1,,,,,,,0-based,1 toggles footswitch,
Universal Audio,Golden Reverberator,General,FS Right,,13,,0,1,,,,,,,0-based,1 toggles footswitch,
Universal Audio,Golden Reverberator,General,Effect Up,,14,,0,1,,,,,,,0-based,1 toggles switch,
Universal Audio,Golden Reverberator,General,Effect Down,,15,,0,1,,,,,,,0-based,1 toggles switch,
Universal Audio,Golden Reverberator,Global / Control,Store,,16,,0,1,,,,,,,0-based,,0: Off; 1: Hold
Universal Audio,Golden Reverberator,General,A B C Select,,17,,0,2,,,,,,,0-based,,2: Variation A - C
Universal Audio,Golden Reverberator,General,Effect Select,,18,,0,3,,,,,,,0-based,,0: Spring 65; 1: Plate 140; 2: Hall 224; 3: Chamber & Plate 224
Universal Audio,Golden Reverberator,Global / Control,Bypass,,19,,0,2,,,,,,,0-based,,0: Bypass; 1: Unbypass Left FS; 2: Unbypass Right FS
Universal Audio,Golden Reverberator,General,Mix,,22,,0,127,,,,,,,0-based,,
Universal Audio,Golden Reverberator,General,Decay,,23,,0,127,,,,,,,0-based,,
Universal Audio,Golden Reverberator,Delay,Predelay,,24,,0,127,,,,,,,0-based,,
Universal Audio,Golden Reverberator,General,Bass,,25,,0,127,,,,,,,centered,,
Universal Audio,Golden Reverberator,General,Treble,,26,,0,127,,,,,,,centered,,
Universal Audio,Golden Reverberator,Modulation,Mod,,27,,0,127,,,,,,,0-based,,
