manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Universal Audio,Lion 68,Amp,Output,,7,,0,127,,,,,,,0-based,,
Universal Audio,Lion 68,General,FS Left,,12,,0,1,,,,,,,0-based,1 toggles footswitch,
Universal Audio,Lion 68,General,FS Right,,13,,0,1,,,,,,,0-based,1 toggles footswitch,
Universal Audio,Lion 68,Cabinet,Cab Up,,14,,0,1,,,,,,,0-based,1 toggles switch,
Universal Audio,Lion 68,Cabinet,Cab Down,,15,,0,1,,,,,,,0-based,1 toggles switch,
Universal Audio,Lion 68,Global / Control,Store,,16,,0,1,,,,,,,0-based,,0: Off; 1: Hold
Universal Audio,Lion 68,Modulation,Model Select,,17,,0,2,,,,,,,0-based,,0: Bass; 1: Lead; 2: Brown
Universal Audio,Lion 68,Cabinet,Cab Select,,18,,0,6,,,,,,,0-based,,5: Cabs; 6: No Cab >; 6: Cab 1 (to prevent accidentally disabling Cab)
Universal Audio,Lion 68,Global / Control,Bypass,,19,,0,2,,,,,,,0-based,,0: Bypass; 1: Unbypass Left FS; 2: Unbypass Right FS
Universal Audio,Lion 68,Amp,Input,,21,,0,2,,,,,,,0-based,,0: Low; 1: High; 2: Jumped
Universal Audio,Lion 68,Amp,Volume I,,22,,0,127,,,,,,,0-based,,
Universal Audio,Lion 68,Amp,Volume II,,23,,0,127,,,,,,,0-based,,
Universal Audio,Lion 68,Reverb,Room,,30,,0,127,,,,,,,0-based,,
Universal Audio,Lion 68,General,Bass,,31,,0,127,,,,,,,centered,,
Universal Audio,Lion 68,General,Middle,,32,,0,127,,,,,,,0-based,,
Universal Audio,Lion 68,General,Treble,,33,,0,127,,,,,,,centered,,
Universal Audio,Lion 68,General,Presence,,34,,0,127,,,,,,,0-based,,
Universal Audio,Lion 68,General,Bright,,35,,0,1,,,,,,,0-based,,
Universal Audio,Lion 68,General,Ghost Notes,,36,,0,1,,,,,,,0-based,,0: Ghost Notes on; 1: Ghost Notes off
Universal Audio,Lion 68,Drive,Boost Enable,,40,,0,1,,,,,,,0-based,,
Universal Audio,Lion 68,Drive,Boost,,41,,0,127,,,,,,,0-based,,
Universal Audio,Lion 68,General,Gate Enable,,70,,0,1,,,,,,,0-based,,
Universal Audio,Lion 68,General,Gate Threshold,,71,,0,127,,,,,,,0-based,,
Universal Audio,Lion 68,General,Gate Hold,,72,,0,127,,,,,,,0-based,,
Universal Audio,Lion 68,General,Gate Attack,,73,,0,127,,,,,,,0-based,,
Universal Audio,Lion 68,General,Gate Release,,74,,0,127,,,,,,,0-based,,
Universal Audio,Lion 68,General,Gate Attenuation,,75,,0,127,,,,,,,0-based,,
