manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes
Waldorf,Blofeld,,Bank select MSB,General,0,32,0,127,,,,,0-based,
Waldorf,Blofeld,,Mod wheel,General,1,,0,127,,,,,0-based,
Waldorf,Blofeld,,Breath control,General,2,,0,127,,,,,0-based,
Waldorf,Blofeld,,Foot control,General,4,,0,127,,,,,0-based,
Waldorf,Blofeld,,Glide rate,General,5,,0,127,,,,,0-based,
Waldorf,Blofeld,,Channel volume,General,7,,0,127,,,,,0-based,
Waldorf,Blofeld,,Pan,General,10,,0,127,,,,,Centered,
Waldorf,Blofeld,,Arpeggiator range,General,12,,0,9,,,,,0-based,0: 1 octave; ... 9: 10 octaves
Waldorf,Blofeld,,Arpeggiator length,General,13,,0,15,,,,,0-based,0: 1 step; ... 15: 16 steps
Waldorf,Blofeld,,Arpeggiator active,General,14,,0,3,,,,,0-based,0: off; 1: on; 2: one shot; 3: hold
Waldorf,Blofeld,,LFO 1 shape,LFO,15,,0,5,,,,,0-based,0: sine; 1: triangle; 2: square; 3: sawtooth; 4: random; 5: S&H
Waldorf,Blofeld,,LFO 1 speed,LFO,16,,0,127,,,,,0-based,
Waldorf,Blofeld,,LFO 1 sync,LFO,17,,0,1,,,,,0-based,0: off; 1: on
Waldorf,Blofeld,,LFO 1 delay,LFO,18,,0,127,,,,,0-based,
Waldorf,Blofeld,,LFO 2 shape,LFO,19,,0,5,,,,,0-based,0: sine; 1: triangle; 2: square; 3: sawtooth; 4: random; 5: S&H
Waldorf,Blofeld,,LFO 2 speed,LFO,20,,0,127,,,,,0-based,
Waldorf,Blofeld,,LFO 2 sync,LFO,21,,0,1,,,,,0-based,0: off; 1: on
Waldorf,Blofeld,,LFO 2 delay,LFO,22,,0,127,,,,,0-based,
Waldorf,Blofeld,,LFO 3 shape,LFO,23,,0,5,,,,,0-based,0: sine; 1: triangle; 2: square; 3: sawtooth; 4: random; 5: S&H
