manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Waldorf,Iridium,,Filter1 Cutoff,,,,0,127,,,,,0-based,,
Waldorf,Iridium,,Filter1 Reso,,2,,0,127,,,,,0-based,,
Waldorf,Iridium,,Filter1 Attack,,3,,0,127,,,,,0-based,,
Waldorf,Iridium,,Filter1 Decay,,4,,0,127,,,,,0-based,,
Waldorf,Iridium,,Filter1 Sustain,,5,,0,127,,,,,0-based,,
Waldorf,Iridium,,Filter1 Release,,6,,0,127,,,,,0-based,,
Waldorf,Iridium,,Filter1 Amount,,7,,0,127,,,,,0-based,,
Waldorf,Iridium,,Filter1 Velo Amount,,8,,0,127,,,,,0-based,,
Waldorf,Iridium,,Filter2 Cutoff,,9,,0,127,,,,,0-based,,
Waldorf,Iridium,,Filter2 Reso,,10,,0,127,,,,,0-based,,
Waldorf,Iridium,,Filter2 Attack,,11,,0,127,,,,,0-based,,
Waldorf,Iridium,,Filter2 Decay,,12,,0,127,,,,,0-based,,
Waldorf,Iridium,,Filter2 Sustain,,13,,0,127,,,,,0-based,,
Waldorf,Iridium,,Filter2 Release,,14,,0,127,,,,,0-based,,
Waldorf,Iridium,,Filter2 Amount,,15,,0,127,,,,,0-based,,
Waldorf,Iridium,,Filter2 Velo Amount,,16,,0,127,,,,,0-based,,
Waldorf,Iridium,,AMP Velo Amount,,17,,0,127,,,,,0-based,,
Waldorf,Iridium,,AMP Attack,,18,,0,127,,,,,0-based,,
Waldorf,Iridium,,AMP Decay,,19,,0,127,,,,,0-based,,
Waldorf,Iridium,,AMP Sustain,,20,,0,127,,,,,0-based,,
Waldorf,Iridium,,AMP Release,,21,,0,127,,,,,0-based,,
Waldorf,Iridium,,Delay DRY WET,,22,,0,127,,,,,0-based,,
Waldorf,Iridium,,Delay Feedback,,23,,0,127,,,,,0-based,,
Waldorf,Iridium,,Delay Time L,,24,,0,127,,,,,0-based,,
Waldorf,Iridium,,Delay Time R,,25,,0,127,,,,,0-based,,
Waldorf,Iridium,,Delay Sync L,,26,,0,127,,,,,0-based,,
