manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Waldorf,Rocket,,Modwheel,,1,,0,127,,,,,0-based,,
Waldorf,Rocket,,OSC Shape,,31,,0,127,,,,,0-based,,
Waldorf,Rocket,,OSC Wave,,70,,0,127,,,,,0-based,,
Waldorf,Rocket,,Semitone,,28,,0,127,,,,,0-based,,
Waldorf,Rocket,,Detune,,29,,0,127,,,,,0-based,,
Waldorf,Rocket,,OSC Tune,,79,,0,127,,,,,0-based,,
Waldorf,Rocket,,Vibr MOD,,80,,0,127,,,,,0-based,,
Waldorf,Rocket,,Glide,,5,,0,127,,,,,0-based,,
Waldorf,Rocket,,ARP Range,,12,,0,127,,,,,0-based,,
Waldorf,Rocket,,ARP Direction,,13,,0,127,,,,,0-based,,
Waldorf,Rocket,,ARP Tempo,,14,,0,127,,,,,0-based,,
Waldorf,Rocket,,VCF Resonance,,71,,0,127,,,,,0-based,,
Waldorf,Rocket,,VCF Cutoff,,74,,0,127,,,,,0-based,,
Waldorf,Rocket,,VCF Keytrack,,83,,0,127,,,,,0-based,,
Waldorf,Rocket,,ENV Sustain Switch,,103,,0,127,,,,,0-based,,
Waldorf,Rocket,,Sustain,,64,,0,127,,,,,0-based,,
Waldorf,Rocket,,ENV Release,,72,,0,127,,,,,0-based,,
Waldorf,Rocket,,ENV MOD,,73,,0,127,,,,,0-based,,
Waldorf,Rocket,,ENV Decay,,75,,0,127,,,,,0-based,,
Waldorf,Rocket,,LFO Target,,18,,0,127,,,,,0-based,,
Waldorf,Rocket,,LFO Speed,,76,,0,127,,,,,0-based,,
Waldorf,Rocket,,LFO Depth,,77,,0,127,,,,,0-based,,
Waldorf,Rocket,,LFO Shape,,78,,0,127,,,,,0-based,,
