manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Walrus Audio,Mako D1,,Time,,14,,0,127,,,,,,,0-based,,
Walrus Audio,Mako D1,,Repeats,,15,,0,127,,,,,,,0-based,,
Walrus Audio,Mako D1,,Mix,,20,,0,127,,,,,,,0-based,,
Walrus Audio,Mako D1,,Mod Depth,,21,,0,127,,,,,,,0-based,,
Walrus Audio,Mako D1,,Tone,,22,,0,127,,,,,,,0-based,,
Walrus Audio,Mako D1,,Age,,23,,0,127,,,,,,,0-based,,
Walrus Audio,Mako D1,,Program,,24,,0,5,,,,,,,0-based,,
Walrus Audio,Mako D1,,Duck,,25,,0,127,,,,,,,0-based,,
Walrus Audio,Mako D1,,Div (Left in Dual),,28,,0,5,,,,,,,0-based,,
Walrus Audio,Mako D1,,Bypass,,29,,0,127,,,,,,,0-based,,
Walrus Audio,Mako D1,,Tap,,30,,0,127,,,,,,,0-based,,
Walrus Audio,Mako D1,,Div (Right in Dual),,31,,0,5,,,,,,,0-based,,
Walrus Audio,Mako D1,,Feedback Mode,,32,,0,2,,,,,,,0-based,,
Walrus Audio,Mako D1,,Mod Shape,,33,,0,5,,,,,,,0-based,,
Walrus Audio,Mako D1,,Grain Pitch,,34,,0,4,,,,,,,0-based,,
Walrus Audio,Mako D1,,Reverse Mode,,35,,0,1,,,,,,,0-based,,
Walrus Audio,Mako D1,,Ramp,,36,,0,127,,,,,,,0-based,,
Walrus Audio,Mako D1,,Mod Rate,,37,,0,127,,,,,,,0-based,,
Walrus Audio,Mako D1,,Grain Size,,38,,0,127,,,,,,,0-based,,
Walrus Audio,Mako D1,,Grain Mix,,39,,0,127,,,,,,,0-based,,
Walrus Audio,Mako D1,,Midi Clock Ignore,,89,,0,127,,,,,,,0-based,,
Walrus Audio,Mako D1,,Spread,,98,,0,127,,,,,,,0-based,,
