manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Walrus Audio,Mako R1,,Decay,,3,,0,127,,,,,,,0-based,,
Walrus Audio,Mako R1,,Pre Delay,,9,,0,127,,,,,,,0-based,,
Walrus Audio,Mako R1,,Mix,,14,,0,127,,,,,,,0-based,,
Walrus Audio,Mako R1,,Rate,,15,,0,127,,,,,,,0-based,,
Walrus Audio,Mako R1,,Depth,,20,,0,127,,,,,,,0-based,,
Walrus Audio,Mako R1,,Swell,,21,,0,127,,,,,,,0-based,,
Walrus Audio,Mako R1,,Duck,,22,,0,127,,,,,,,0-based,,
Walrus Audio,Mako R1,,EQ Low,,23,,0,127,,,,,,,0-based,,
Walrus Audio,Mako R1,,EQ High,,24,,0,127,,,,,,,0-based,,
Walrus Audio,Mako R1,,Size,,25,,0,127,,,,,,,0-based,,
Walrus Audio,Mako R1,,Diffuse,Shimmer amount for Air program,26,,0,127,,,,,,,0-based,,
Walrus Audio,Mako R1,,Feedback EQ,,27,,0,127,,,,,,,0-based,,
Walrus Audio,Mako R1,,Program,,28,,0,5,,,,,,,0-based,,
Walrus Audio,Mako R1,,Bypass,,30,,0,127,,,,,,,0-based,,
Walrus Audio,Mako R1,,Sustain,,31,,0,127,,,,,,,0-based,,
Walrus Audio,Mako R1,,Width,,35,,0,127,,,,,,,0-based,,
Walrus Audio,Mako R1,,Octave Type,,81,,0,127,,,,,,,0-based,,
