manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Yamaha,AN1x,General,Main Volume,,7,,0,127,,,,,,,0-based,,
Yamaha,AN1x,General,Pan Position,,10,,0,127,,,,,,,centered,Position relatively changes according to the preset value for each voice.,
Yamaha,AN1x,General,Scene Select,,3,,0,127,,,,,,,0-based,,0-42: Scene 1; 43-85: Scene 2; 86-127: Scenes 1+2
Yamaha,AN1x,General,Layer Mode,,8,,0,127,,,,,,,0-based,,0-21: Single; 22-42: Unison; 43-63: Dual; 64-85: Dual Unison; 86-106: Split; 107-127: Split Unison
Yamaha,AN1x,General,Poly/Mono Mode,,9,,0,127,,,,,,,0-based,,0-42: Poly; 43-85: Mono; 86-127: Legato
Yamaha,AN1x,General,Portamento Switch,,65,,0,127,,,,,,,0-based,,0-63: Off; 64-127: On
Yamaha,AN1x,General,Portamento Mode,,85,,0,127,,,,,,,0-based,"Sustain+Key: the Hold tone (by a sustain pedal)
is specified as the starting pitch of the portamento; Fingered: Portamento is only enabled by legato
Performance",0-63: Normal; 64-127: Sustain+Key
Yamaha,AN1x,General,Portamento Time,"Sets the time it takes for the pitch to reach the next note played when Portamento Switch is set
to on.",5,,0,127,,,,,,,0-based,,
Yamaha,AN1x,General,Sustain Switch,,64,,0,127,0,,,,,,0-based,,0-63: Off; 64-127: On
Yamaha,AN1x,General,Mod Wheel,Controls vibrato depth according to the manual.,1,,0,127,0,,,,,,0-based,,
Yamaha,AN1x,General,Expression,,11,,0,127,127,,,,,,0-based,,
Yamaha,AN1x,General,Foot Controller,,4,,0,127,,,,,,,0-based,,
Yamaha,AN1x,General,Ribbon Z Controller,,12,,0,127,,,,,,,centered,,
Yamaha,AN1x,General,Ribbon X Controller,,13,,0,127,,,,,,,0-based,,
Yamaha,AN1x,General,Arpeggio/Step Seq Switch,,90,,0,127,,,,,,,0-based,,0-63: Off; 64-127: On
Yamaha,AN1x,Oscillators,VCO 1 Wave Type,,50,,0,127,,,,,,,0-based,,0-31: Saw; 32-63: Pulse; 64-95: Saw 2; 96-127: Mix
Yamaha,AN1x,Oscillators,VCO 1 Pitch Coarse Tune,,21,,0,127,,,,,,,centered,,
Yamaha,AN1x,Oscillators,VCO 1 Pitch Fine Tune,,77,,0,127,,,,,,,centered,,
Yamaha,AN1x,Oscillators,VCO 1 Pitch Mod Depth,,18,,0,127,,,,,,,centered,,
Yamaha,AN1x,Oscillators,VCO 1 Edge,,76,,0,127,,,,,,,0-based,,
Yamaha,AN1x,Oscillators,VCO 1 Pulse Width,,78,,0,127,,,,,,,0-based,,
Yamaha,AN1x,Oscillators,VCO 1 PWM Source,,86,,0,127,,,,,,,0-based,"""Fixed"" = no modulation; ""LFO 2 Phase"" = the LFO2 wave shifted later by 60
degrees; ""LFO 2 Fast"" = the LFO 2 wave with a slightly faster cycle",0-18: Fixed; 19-36: PEG; 37-54: FEG; 55-73: LFO 1; 74-91: LFO 2; 92-109: LFO 2 Phase; 110-127: LFO 2 Fast
Yamaha,AN1x,Oscillators,VCO 1 PWM Depth,,79,,0,127,,,,,,,centered,,
Yamaha,AN1x,Oscillators,VCO Sync Algorithm,,33,,0,127,,,,,,,0-based,,0-31: FM; 32-63: Sync + FM Both; 64-95: Sync + FM Master; 96-127: Sync + FM Slave
Yamaha,AN1x,Oscillators,VCO Sync Pitch,,22,,0,127,,,,,,,centered,,
Yamaha,AN1x,Oscillators,VCO Sync Pitch Source,,24,,0,127,,,,,,,0-based,,0-25: Fixed; 26-51: PEG; 52-76: FEG; 77-102: LFO 1; 103-127: LFO 2
