manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Yamaha,NSX-1,Voice control,Bank Select,Voice Bank Selection,0,32,0,127,,,,,,Normal RAS DrumKit. GM/RAS,
Yamaha,NSX-1,Voice control,Modulation,Modulation Control,1,,0,127,,,,,,GM/RAS eVocaloid,
Yamaha,NSX-1,Voice control,Portamento Time,Time Control,5,,0,127,,,,,,GM/RAS,
Yamaha,NSX-1,Voice control,Data Entry MSB,Time Control,6,,0,127,,,,,,GM/RAS,
Yamaha,NSX-1,Voice control,Main Volume,Volume Control,7,,0,127,,,,,,Affects volumes. GM/RAS SDI eVocaloid,
Yamaha,NSX-1,Voice control,Panpot,Pan Position,10,,0,127,,,,,Centered,Affects volumes. GM/RAS SDI,
Yamaha,NSX-1,Voice control,Expression,Expression Control,11,,0,127,,,,,,Affects volumes. GM/RAS eVocaloid,
Yamaha,NSX-1,Voice control,Bank Select LSB,Voice Bank Selection,32,,0,127,,,,,,Affects volumes. GM/RAS eVocaloid.,
Yamaha,NSX-1,Voice control,Bank Select LSB,Voice Bank Selection,38,,0,127,,,,,,Affects volumes. GM/RAS eVocaloid,
Yamaha,NSX-1,Voice control,Sustain,Damper Pedal,64,,0,127,,,,,,GM/RAS eVocaloid,
Yamaha,NSX-1,Voice control,Portamento,Portamento,65,,0,127,,,,,,GM/RAS ,
Yamaha,NSX-1,Voice control,Sostenuto,Sostenuto Pedal,66,,0,127,,,,,0-based,GM/RAS,
Yamaha,NSX-1,Voice control,Soft Pedal,Soft Pedal,67,,0,127,,,,,0-based,GM/RAS,
Yamaha,NSX-1,Sound parameters,Harmonic Content,Timbre Control,71,,0,127,,,,,Centered,GM/RAS,
Yamaha,NSX-1,Sound parameters,Release Time,Envelope Control,72,,0,127,,,,,Centered,GM/RAS,
Yamaha,NSX-1,Sound parameters,Attack Time,Envelope Control,73,,0,127,,,,,Centered,GM/RAS,
Yamaha,NSX-1,Sound parameters,Brightness,Filter Control,74,,0,127,,,,,Centered,GM/RAS,
Yamaha,NSX-1,Sound parameters,Decay Time,Envelope Control,75,,0,127,,,,,Centered,GM/RAS,
Yamaha,NSX-1,Sound parameters,Vibrato Rate,LFO Speed,76,,0,127,,,,,Centered,GM/RAS,
Yamaha,NSX-1,Sound parameters,Vibrato Depth,LFO Depth,77,,0,127,,,,,Centered,GM/RAS,
Yamaha,NSX-1,Sound parameters,Vibrato Delay,LFO Delay,78,,0,127,,,,,Centered,GM/RAS,
Yamaha,NSX-1,Sound parameters,Articulation 1,General Purpose Controller (Articulation 1),80,,0,127,,,,,0-based,RAS,
Yamaha,NSX-1,Sound parameters,Articulation 2,General Purpose Controller (Articulation 2),81,,0,127,,,,,0-based,RAS,
Yamaha,NSX-1,Sound parameters,Vibrato Delay,LFO Delay,84,,0,127,,,,,Centered,GM/RAS,
Yamaha,NSX-1,Effects,Reverb Send Level,Effect1 Depth,91,,0,127,,,,,,Affects volumes. GM/RAS SDI eVocaloid,
Yamaha,NSX-1,Effects,Chorus Send Level,Effect3 Depth,93,,0,127,,,,,,Affects volumes. GM/RAS SDI eVocaloid,
Yamaha,NSX-1,Effects,Variation Send Level,Effect4 Depth,94,,0,127,,,,,,Affects volumes. GM/RAS eVocaloid,
Yamaha,NSX-1,Control,RPN Increment,Data Increment,96,,,,,,,,,Data byte is ignored. GM/RAS,
Yamaha,NSX-1,Control,RPN Decrement,Data Decrement,97,,,,,,,,,Data byte is ignored. GM/RAS,
Yamaha,NSX-1,Control,NRPN LSB,Non-Registered Parameter LSB,98,,0,127,,,,,,Default: 7F. GM/RAS eVocaloid,
Yamaha,NSX-1,Control,NRPN MSB,Non-Registered Parameter MSB,99,,0,127,,,,,,Default: 7F. GM/RAS eVocaloid,
Yamaha,NSX-1,Control,RPN LSB,Registered Parameter LSB,100,,0,127,,,,,,Default: 7F. GM/RAS eVocaloid,
Yamaha,NSX-1,Control,RPN MSB,Registered Parameter MSB,101,,0,127,,,,,,Default: 7F. GM/RAS eVocaloid,
Yamaha,NSX-1,System,All Sound Off,System Control,120,,0,0,,,,,,GM/RAS eVocaloid,
Yamaha,NSX-1,System,Reset Controllers,System Control,121,,0,0,,,,,,GM/RAS eVocaloid,
Yamaha,NSX-1,System,All Notes Off,System Control,123,,0,0,,,,,,GM/RAS eVocaloid,
Yamaha,NSX-1,System,Omni Off,System Control,124,,0,0,,,,,,GM/RAS,
Yamaha,NSX-1,System,Omni On,System Control,125,,0,0,,,,,,GM/RAS,
Yamaha,NSX-1,System,Mono,System Control,126,,0,16,,,,,,GM/RAS,
Yamaha,NSX-1,System,Poly,System Control,127,,0,0,,,,,,GM/RAS,
