manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Zoom,LiveTrak L6,EQ,EQ HI LEVEL CH 1,,1,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6,EQ,EQ HI LEVEL CH 2,,2,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6,EQ,EQ HI LEVEL CH 3,,3,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6,EQ,EQ HI LEVEL CH 4,,4,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6,EQ,EQ HI LEVEL CH 5,,5,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6,EQ,EQ HI LEVEL CH 6,,6,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6,EQ,EQ MID FREQ CH 1,,11,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6,EQ,EQ MID FREQ CH 2,,12,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6,EQ,EQ MID FREQ CH 3,,13,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6,EQ,EQ MID FREQ CH 4,,14,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6,EQ,EQ MID FREQ CH 5,,15,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6,EQ,EQ MID FREQ CH 6,,16,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6,EQ,EQ MID LEVEL CH 1,,21,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6,EQ,EQ MID LEVEL CH 2,,22,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6,EQ,EQ MID LEVEL CH 3,,23,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6,EQ,EQ MID LEVEL CH 4,,24,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6,EQ,EQ MID LEVEL CH 5,,25,,0,127,,,,,,,0-based,,
