manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Zoom,LiveTrak L6max,EQ,EQ HI LEVEL CH 1,,1,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ HI LEVEL CH 2,,2,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ HI LEVEL CH 3,,3,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ HI LEVEL CH 4,,4,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ HI LEVEL CH 5,,5,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ HI LEVEL CH 6,,6,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ HI LEVEL CH 7,,7,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ HI LEVEL CH 8,,8,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ MID FREQ CH 1,,11,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ MID FREQ CH 2,,12,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ MID FREQ CH 3,,13,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ MID FREQ CH 4,,14,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ MID FREQ CH 5,,15,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ MID FREQ CH 6,,16,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ MID FREQ CH 7,,17,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ MID FREQ CH 8,,18,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ MID LEVEL CH 1,,21,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ MID LEVEL CH 2,,22,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ MID LEVEL CH 3,,23,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ MID LEVEL CH 4,,24,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ MID LEVEL CH 5,,25,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ MID LEVEL CH 6,,26,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ MID LEVEL CH 7,,27,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ MID LEVEL CH 8,,28,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ LO LEVEL CH 1,,33,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ LO LEVEL CH 2,,34,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ LO LEVEL CH 3,,35,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ LO LEVEL CH 4,,36,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ LO LEVEL CH 5,,37,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ LO LEVEL CH 6,,38,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ LO LEVEL CH 7,,39,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,EQ,EQ LO LEVEL CH 8,,40,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,SUBMX,SUB MIX SEND CH 1,,41,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,SUBMX,SUB MIX SEND CH 2,,42,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,SUBMX,SUB MIX SEND CH 3,,43,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,SUBMX,SUB MIX SEND CH 4,,44,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,SUBMX,SUB MIX SEND CH 5,,45,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,SUBMX,SUB MIX SEND CH 6,,46,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,SUBMX,SUB MIX SEND CH 7,,47,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,SUBMX,SUB MIX SEND CH 8,,48,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,AUX,AUX1 SEND CH 1,,49,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,AUX,AUX1 SEND CH 2,,50,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,AUX,AUX1 SEND CH 3,,51,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,AUX,AUX1 SEND CH 4,,52,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,AUX,AUX1 SEND CH 5,,53,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,AUX,AUX1 SEND CH 6,,54,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,AUX,AUX1 SEND CH 7,,55,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,AUX,AUX1 SEND CH 8,,56,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,AUX,AUX2 SEND CH 1,,57,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,AUX,AUX2 SEND CH 2,,58,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,AUX,AUX2 SEND CH 3,,59,,0,127,,,,,,,0-based,,
Zoom,LiveTrak L6max,AUX,AUX2 SEND CH 4,,60,,0,127,,,,,,,0-based,,
