manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
discoDSP,Corona,Global,Portamento,Portamento time,5,,0,127,0,,,,,,0-based,Portamento Time knob.,0~127: Instant to slowest glide
discoDSP,Corona,Global,Master,,7,,0,127,,,,,,,0-based,Labelled 'Master' on panel.,0~127: Silence to full output
discoDSP,Corona,Delay,Delay Feedback,,9,,0,127,80,,,,,,0-based,,0: Single repeat; 1~126: Sustain amount; 127: Near-infinite sustain
discoDSP,Corona,Delay,Delay Mix,,12,,0,127,80,,,,,,0-based,,0~127: Dry only to fully wet
discoDSP,Corona,Chorus,Chorus Mix,,13,,0,127,119,,,,,,0-based,,0~127: Dry only to fully wet
discoDSP,Corona,Oscillator,Finetune,Waveform 2 detune (cents),14,,0,100,50,,,,,,centered,,0~100: -50 to +50 cents
discoDSP,Corona,Vibrato,VibFreq,Vibrato LFO frequency,15,,0,127,0,,,,,,0-based,,
discoDSP,Corona,Volume Envelope,Attack,Volume envelope attack,16,,0,127,0,,,,,,0-based,,0~127: Near-instant to slowest attack
discoDSP,Corona,Volume Envelope,Decay,Volume envelope decay,17,,0,127,0,,,,,,0-based,,0~127: Near-instant to slowest decay
discoDSP,Corona,Volume Envelope,Sustain,Volume envelope sustain,18,,0,127,127,,,,,,0-based,,0~127: No sustain to full sustain
discoDSP,Corona,Volume Envelope,Release,Volume envelope release,19,,0,127,0,,,,,,0-based,,0~127: Near-instant to slowest release
discoDSP,Corona,Filter 1,Drive,Filter drive,21,,0,127,64,,,,,,0-based,Pre-filter saturation stage.,0~127: Clean to maximum saturation
discoDSP,Corona,Unison,Unison Spread (cents),Unison pitch detune spread,24,,0,100,5,,,,,,0-based,,0~100: No spread (unison) to maximum spread
discoDSP,Corona,Unison,Unison Panning Spread,Unison stereo panning spread,25,,0,100,0,,,,,,0-based,,0: Mono (centre); 100: Maximum stereo spread
