manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
discoDSP,Discovery,Global,Mod Wheel,Modulation wheel,1,,0,127,0,,,,,,0-based,Standard MIDI mod wheel input.,0~127: No modulation to full modulation
discoDSP,Discovery,Global,Portamento,Portamento time,5,,0,127,0,,,,,,0-based,Per-layer glide time.,0~127: Instant to slowest glide
discoDSP,Discovery,Amp,Amp Gain,Amplifier output gain,7,,0,127,,,,,,,0-based,Per-layer level.,0~127: Silence to full output
discoDSP,Discovery,Oscillator,Osc Mix,Oscillator 1/2 mix,8,,0,127,,,,,,,0-based,Per-layer.,0~127: Osc 1 only to Osc 2 only
discoDSP,Discovery,Global,Play Mode,Voice play mode,15,,0,2,0,,,,,,0-based,Per-layer; raw value stored.,0: Monophonic; 1: Legato; 2: Polyphonic
discoDSP,Discovery,Global,Unison,Chorus/Phaser bitfield,16,,0,3,0,,,,,,0-based,Per-layer; bitfield (Chorus=bit0; Phaser=bit1).,0: Off; 1: Chorus; 2: Phaser; 3: Chorus+Phaser
discoDSP,Discovery,Global,Octave Shift,Octave shift,17,,0,127,2,,,,,,centered,Per-layer; values above 4 clamp to 4.,0: -2 oct; 1: -1 oct; 2: 0; 3: +1 oct; 4~127: +2 oct
discoDSP,Discovery,Global,Wheel Mode,Mod wheel destination mode,18,,0,5,0,,,,,,0-based,Per-layer.,0: Filter; 1: FM; 2: Osc 2; 3: LFO 1; 4: Morph; 5: Off
discoDSP,Discovery,LFO 1,LFO1 Rate,LFO 1 rate,19,,0,127,0,,,,,,0-based,Per-layer.,0~127: Slowest to fastest
discoDSP,Discovery,LFO 1,LFO1 Waveform,LFO 1 waveform,20,,0,9,0,,,,,,0-based,Per-layer; direct value selects waveform.,0: Random; 1: Saw; 2: Triangle; 3: Square; 4: LF Filtered Noise; 5: Random (Retrig); 6: Saw (Retrig); 7: Triangle (Retrig); 8: Square (Retrig); 9: LF Filtered Noise (Retrig)
discoDSP,Discovery,LFO 1,LFO1 Destination,LFO 1 destination,21,,0,4,0,,,,,,0-based,Per-layer; direct value selects destination.,0: Pulse Width; 1: Filter; 2: Oscillator 2; 3: Oscillator 1+2; 4: FM
discoDSP,Discovery,LFO 1,LFO1 Amount,LFO 1 amount,22,,0,127,0,,,,,,0-based,Per-layer.,0~127: No modulation to maximum
discoDSP,Discovery,LFO 2,LFO2 Rate,LFO 2 rate,23,,0,127,0,,,,,,0-based,Per-layer.,0~127: Slowest to fastest
