manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
discoDSP,OB-Xd 3,Global,Voice Count,Polyphony / number of voices,15,,0,127,,,,,,,0-based,Voice count = round(value/127 * 31) + 1.,1~32: Voice count
discoDSP,OB-Xd 3,Global,Unison,Unison enable,16,,0,127,0,,,,,,0-based,Threshold at 64.,0-63: Off; 64-127: On
discoDSP,OB-Xd 3,Global,Octave,Master octave,17,,0,127,64,,,,,,centered,Octave = (round(value/127 * 4) - 2) * 12 semitones.,0-15: -2 oct; 16-47: -1 oct; 48-79: 0; 80-111: +1 oct; 112-127: +2 oct
discoDSP,OB-Xd 3,Filter,Oversampling,Filter oversampling enable,18,,0,127,0,,,,,,0-based,Threshold at 64.,0-63: Off; 64-127: On
discoDSP,OB-Xd 3,LFO,LFO Frequency,LFO rate,19,,0,127,,,,,,,0-based,Logarithmic 0~50 Hz scaled internally.,0~127: Slowest to fastest
discoDSP,OB-Xd 3,Envelope,Volume Env Velocity,Amp envelope velocity sensitivity,20,,0,127,0,,,,,,0-based,,0~127: No velocity to full velocity
discoDSP,OB-Xd 3,Global,As Played Allocation,Voice allocation mode,21,,0,127,0,,,,,,0-based,Threshold at 64.,0-63: Round-robin; 64-127: As-played
discoDSP,OB-Xd 3,LFO,LFO Amount 1,LFO modulation depth 1,22,,0,127,0,,,,,,0-based,,0~127: No modulation to maximum
discoDSP,OB-Xd 3,Global,Portamento,Portamento time,23,,0,127,0,,,,,,0-based,Logarithmic 0.14~250 ms scaled internally.,0~127: Instant to slowest glide
discoDSP,OB-Xd 3,Global,Unison Detune,Unison voice detune,24,,0,127,0,,,,,,0-based,,0~127: No detune to maximum
discoDSP,OB-Xd 3,LFO,LFO Amount 2,LFO modulation depth 2 (PW),25,,0,127,0,,,,,,0-based,,0~127: No modulation to maximum
discoDSP,OB-Xd 3,Global,Bend Osc 2 Only,Pitch wheel affects only oscillator 2,31,,0,127,0,,,,,,0-based,Threshold at 64.,0-63: Off (both oscillators); 64-127: On (Osc 2 only)
discoDSP,OB-Xd 3,Global,Tune,Master fine tune,33,,0,127,64,,,,,,centered,Maps to -1~+1 internally.,0~127: -100 to +100 cents
discoDSP,OB-Xd 3,Global,Legato Mode,Mono/legato mode,35,,0,127,0,,,,,,0-based,LegatoMode = round(value/127 * 3 + 1) - 1.,0-21: Mode 0; 22-63: Mode 1; 64-105: Mode 2; 106-127: Mode 3
